ENTERTAINMENT & LEISURE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
30,GORGEOUS BRIDALS,"34 Atimbo Street, Calabar",08053677046 08032872296,"Event Management, Wedding Accessories, Catering",,,"Event Management, Wedding Accessories, Catering",,,Mondays - Saturdays 8am - 7pm
31,HONOUR VENTURES BRIDAL SHOP,6 Mount Zion Street Calabar,"07032108601, 08168447892",Bridal Accessoris,,,Bridal Accessories,,,Mondays - Saturdays  8am - 6.30pm  
32,IDEE-BEST SKILL ACQUISITION CENTRE,"5 Joseph Etim Close Ikot Ansa, Calabar",07069679342 08071798266,"Pastries, Cookery, Event Decoration, Fashion Designing",,,"Pastries, Cookery, Event Decoration, Fashion Designing",,,"Mondays - Friday,          9am - 2pm"
33,IMA ASI RENTAL RENTAL SERVICES,"53 Mbukpa Road, Calabar",08038452886,Rental Services,,,"Canopies, Chairs, Tables, Drums",,,Mondays - Sundays   24 Hrs
34,JAH TIME ENTERTAINMENT,"57 Edim Otop Street, Calabar",08066905127,DJ Mix,,,DJ Services,,,Mondays - Sundays   24 Hrs
35,JAY & R RENTAL SERVICES,"80 Edim Otop Street, Calabar",07031694849 08094423215,Rental Services,,,"Canopies, Chairs, Tables, Plastic Cooling Drum",,,Mondays - Saturdays 8am - 7pm
36,JUIWCE,"3c Daniel Hogan Street off Mount Zion Road, Calabar",08121884244,Smoothies,,,"Smoothies, Juices, Small Chops, Pastries, Cake",judithatibi@gmail.com,,
37,KOTSY CONFECTIONERY EVENT MANAGEMENT,"Plot 206 Etta Agbor Layout, Calabar",08082414753,Event Management,,,"Parties/Wedding Planning, Cake Making, Plates/Cutlery Rentals",,,Mondays - Saturdays 8am - 7pm
38,LIBY EVENTS,53 Orok Orok Street Calabar,08134697124 07031306316,Indoor & Outdoor Event,,,"Wedding Planner, Birthday & Seminar",,,Mondays - Saturdays  8am - 6pm  
39,MAGDOR'S DESIGNERS,"47 Inyang Street, Calabar",08108459033 08115997707,"Cake Making, Decoration & Training, Dress Making",,,"Cake & Dress Making, Decoration& Training, ",,,Mondays - Saturdays  8am - 6pm  
40,MAYFAIR LOUNGE,"Channel View Hotels, 27 Mcc Road, Calabar",08034680351,Pub & Night Lounge,,,,,,
41,ME EVENT,"199 Parliamentary Road, Calabar.",08037010452,Event Planner,,80 IBB Way,Event Planner,,,Mondays - Sundays  24 hrs
42,MIKELS PLACE,"Bishop Archibong Archibong Avenue Opp. Navy Hospital, M/M Highway, Calabar",08025348561 09097473567,Event Centre,,,Event Centre,,,Mondays - Sundays  24 hrs
43,MORVIC DIVINE TOUCH ENTERPRISE,"1 Edim Otop beside CUDA, Calabar",08185413427 08063611855,Event Management & Beauty Therapy,,,"Event Management, Braiding & Hair Treatment",,,Mondays - Saturdays  8am - 7pm  
44,NANA RENTALS,"12 Bassey Street, Calabar",08053008478,"Rentals of Chairs, Tables, Canopy",,,"Rentals of Chairs, Tables, Canopy",,,Mondays - Saturdays  8am - 6pm  
45,NEJJEED CATERING SERVICES,"197 Old Odukpani Road, Calabar",08065830592,"Outdoor & Indoor Catering Services, Rental of Plate, Pots ",,,,,,Mondays - Saturdays  8am - 6pm  
46,NOVAROSTA,"Block C, Admin Building, Tinapa Business Resort Ltd, Calabar",08032738051,Double Decker Bus Tours,,,"Events, Destinations",contact@novarosta.net,www.novarosta.net,
47,OLA'S MUSIC ENGINEERS,"89 Calabar Road, Calabar",08035956936,Musical Equipment,,,,,,Mondays - Fridays  8am - 5pm  
48,ONE34NIGERIA,"103 Ndidem Usang Iso Road, Calabar.",08033510903,"Decorations, General Contract",,,"Decorations, General Contract",info@one34nigeria@gmail.com,,Mondays - Saturdays  8am - 5pm  
49,PAULISCO REST JOINT,"47 Inyang Street, Calabar",08033632454,Party Event Centre,,,Birthdays & Reception Event Centre,,,Mondays - Saturdays  8am - 7.45pm  
50,PEACHES CAKE N ALL,"28 Marian Road, Calabar",08155571121 081304440007,Cake for All Events,,,Cake,,,Mondays - Saturdays  8am - 6pm  
51,PRECISE BRIDAL,"27 Ekpo Archibong, Calabar.",08036312217,Bridal Wears,,,"Bridal Gowns, Decoration & Make-up",preciousritz9@gmail.com,,Mondays - Saturdays  8am - 7pm  
52,PRESTIGE RENTALS,"16 Edgerly Road, Calabar",07039245525,Rental Services,,,"Canopies, Chairs, Tables, Tents, Event Mgt, Truck, Ice Block, Decoration",,,Mondays - Sundays  24 hrs
53,SAM FLOWERS & DECO,"84 Egerton Street, Calabar","08146985306, 08107014187",Flowers & Decoration,,,Flowers & Decoration,,,24 hrs
54,SELLING RECORDS,"IA Chamberly Street, Calabar",07082853560,Music,,,,tenkobo.@gmail.com,,Mondays - Saturdays  8am - 6pm  
55,SONGRICH DECORATION SERVICES,"1 Musaha Lane, Ekpoabasi, Calabar",09099069870 08140004037,Interior & Exterior Decoration,,,Interior & Exterior Decoration,,,Mondays - Saturdays  7am - 9pm  
56,SOUND BLASTA ENTERTAINMENT,"6 Ekpo Iso Lane, Ikot Ansa behind Pyramid Hotel, Calabar",08025924388 07043155613,Event Management,,,"DJ, MC, Sound Engineer, Club Management, Catering Services",fredfilthy@yahoo.com,,
57,SUCCESS BET (a division of Success Promotion),"44 Mbukpa Road, Calabar",08086711414,Sport Betting & Leisure,,,"Live Football Match, Betting, Predict",,,Mondays - Saturdays  8am - 4pm  
58,SUGAR & SPICE BAKE SHOP,"16 Hon. Ekpo Okon Street Satelite Town, Calabar",080328878617 08092733357,Baking,,,"Cake Baking, Pie Making",,,Mondays - Saturdays  8am - 8pm  
59,SWEET BRIDE ENTERPRISE,38 Mount Zion Road Calabar,"08036735404, 07088338454",Wedding materials,,,Wedding gowns & Accessories,,,Mondays - Saturdays  8am -7pm  
60,SWEET CREATIONS,"56 Offiong Uso Avenue off Ikot-Effa Street, Calabar",08032657876 08051553742,Celebration Cakes & Treats,,,"Cakes, Small Chops, Training, Home Delivery",,,Mondays - Sundays   24 Hrs
61,TATA RENTALS,"105 White House Street, Calabar",08033855046,"Royal Chairs, Canopies, Tables, Queen Chair",,,,,,
62,TREASURE BRIDAL AND EVENT,"103 Marian Road, Calabar",08035546279 08037090389,Bridal and Event Management,,"13 Harcort Street, Calabar","Wedding Gowns, Shoes, Accessories",treasure4eme@yahoo.com,,24hrs
63,TREASURE RENTALS & FLOWER SHOP,13 Harcourt Street Calabar,"08080201153, 08037090389",Wedding materials,,,"Flower Material, Wedding Materials",,,Mondays - Saturdays  8am - 6.30pm  
64,TRIPPLE ''A'' ENTERTAINMENT,"24 Ekpo Abasi by Abasi Edem Street, Calabar",08063754925 08156058585,Game Center,,,"Live Match, Snooker, Play Station 2 & 3",,,Mondays - Saturdays  8am - 9pm  
65,TURNING POINT BRIDAL,"76 Ndidem Usang Iso Road opp. Calabar Municipal, Calabar",08035508118 08056938884,Bridal Consultants & Products,,,"Wedding Gowns, Shoes & Accessories",turningpointbridal@yahoo.com,,Mondays - Saturdays  8am - 6pm  
66,UDDY BRIDALS & EVENT,"140 IBB Way, Calabar",08101519281 08035775088,Event Management & Bridals,,,"Decoration, Catering, Wedding Accessories",ladyudsolomon@yahoo.com,,
67,UNKNOWN INTERIORS,"40 Ediba Road, Calabar",08035221484 08064846285,Interior Décorations,,,"Chairs, Tables, Beds, Dinning Tables",unknownreaction@rocketmail.com,,Mondays - Saturdays  8am - 6pm  
68,UYAI BRIDALS & MAKEOVER,"Suite 2, Venetian Mall beside NNPC Highway, Calabar",0803566656908063274617,Bridal Wears & Accessories,,,"Bridal Make-up, Hair, Nails & Facials",uyaibridalmakeover@ymail.com,,Mondays - Saturdays  8am - 6pm  
69,V-ONE INTERACTIVE BAKING SCHOOL,"10 Amaku Street, State Housing, Calabar",07031826828 08090965613,Learning How to Make Pastries,,,"Doughnut, Samosa, Pies, Bread, Cake, Cake Icing, Spring Roll, Egg Roll, Puff-Puff, Chin-Chin",,,Mondays - Fridays  8am - 5pm  
70,XEENA DESIGN SOLUTIONS LTD,"Shop 5 Ada Shopping Complex, Asari Eso, Calabar",07054944155 07035670042,Interior Décor,,,"Furnitures, Bedsheets, Throw Pillows ",,,Mondays - Fridays  9am - 6pm  Saturdays 9am - 2pm  
