FASHION SERVICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/Services,Email,Website,Business Days/ Hours
19,BEAUTY & TRENDS,"Tinapa Free Zone & Resort, Calabar",08037139138,Beauty & Fashion,,,"Unisex Clothing, Foot Wears, Weavon, Make-up Products",,info@beautyandtrends.com,Mondays - Saturdays  9am - 6pm  
20,BEST IMPRESSION BOUTIQUES,"Plot 217 Former NIPOST Qtrs Beside Prison Officers Mess Stadium,  Calabar ",08169448542 08184747793,Unisex Clothing,,109 Nitel Quarters Stadium Calabar 08186756559  08106933274,"Clothes, Bags, Shoes, Shirts, Jean, Gown, Suit, Accessories",,,Mondays - Saturdays  8am - 7pm  
21,BEST UNISEX COLLECTION,"107 Old Ikang Road, Calabar",07081416263 08189398531,Unisex Clothing & Jewellery,,,"Clothing, Shoes, Jewels, Belt",,,Mondays - Saturdays  8am - 8pm  
22,BETHNEILLS MULTII,47 Bedwell Street Calabar,07056834081,Boutique,,,"Shirts, Jean,belts and shoe",,,Mondays - Saturdays  8am - 6.30pm  
23,BIFAXCO JEWELRY,5 Goldie Street Calabar,"08039184489, 08097739714",Gold Jewelery,,,"Chains, Gold Bangle, Gold Earing, Gold Watch & Rings",,,Mondays - Saturdays  8am - 6.30pm  
24,BLESSED LIVING BOUTIQUE ,8 Godie street calabar,08034062269,Clothing,,,"Shirts, Jean and shoe",,,Mondays - Saturdays  8am - 6.30pm  
25,BLUE KRYSTAL AVENUE,"120 Parliamentary Road, Calabar",07062022005,Unisex Wears,,,"Clothes, Shoes & Jewels",contactbluekrystal@gmail.com,,Mondays - Saturdays  8.30am - 7pm  
26,BODY CAVE,"58/68 Ndidem Usang Iso Road, Calabar",08037236859 08182001961,"Sale of Garment, Footwears & Accessories",,,"Garment, Footwears, Accessories/Customer Service",bodycave@yahoo.com,,Mondays - Saturdays  8am - 8pm  
27,BOUTIQUE CONCEPT,"136 Old Odukpani Road, Calabar",08032259760,Ladies Wears,,,"Clothes, Shoes,Wrist Watches & Accessories",,,Mondays - Saturdays  8am -6pm  
28,BOYCE- X FASHION,85 Mayne Aveneue,"08160552237, 08096187086",Sewing,,,Men's wear,,,Mondays - Saturdays  8am - 6.30pm  
29,BROWNDIVA,"7 Barracks Road, Calabar",08022161307 08180159390,Clothing & Accessories,,,"Indian Wears, Beads, Rings, Hair Clips, Earrings",,,Mondays - Saturdays  8am - 6pm  
30,C' VIRGIN BOUTIQUE,7 Mount Zion Street Calabar,08032338416,Clothing,,,Unisex cloths,,,Mondays - Saturdays  8am - 6.30pm  
31,CHIBEST BOUTIQUE,55 palm Street Calabar,"08039478132, 07032201960",Clothing,,,"jean, shoes, Belt & Shirts",,,Mondays - Saturdays  8am - 8pm  
32,CHIDDY COLLECTIONS,"50 Bedwell Street, Calabar.",08033923018,Clothing,,,Unisex cloths,,,Mondays - Saturdays  8am -6pm  
33,CHIDEX BOUTIQUE,"74 IBB Way, Calabar",07031624098 07080150244 08182920506,"Men Clothing, Shoes & Accessories",,,"Spain, Italian & Fairly Used Shoes",,,Mondays - Saturdays  7am - 10pm  
34,CHOCO TRENDS,"28 Ndidem Usang Iso Road, Calabar",08039318088,"Clothing, Cosmetics & Accessories",,,"Unisex Clothes, Shoes, Bags, Accessories, Cosmetics",,,Mondays - Saturdays  8am - 8pm  
35,CHUCKS 'N' LOOKS FASHION HOME,"Dominion House, 35 Ediba Road, Opp. Ecobank, Calabar",08039617913 08037076282,Wears & Accessories,,,"Shirts, Suit, T. Shirts, Ties, Trousers, Men & Women Wears",,,Mondays - Saturdays  8am -6pm  
36,CITA EXCLUSIVE OUTIT,54 Bedwell Street Calabar,08057649679,Men Wears,,,Men's wear,,,Mondays - Saturdays  8am -6pm  
37,CLASSIC ISLAND,Shop 25 Big Qua Shoping Compex Calabar,"07031698934, 08035269360",Boutique,,,"Suit, Shoes, Shirts, Belts& Jean",,,Mondays - Saturdays  8am - 6.30pm  
38,CLIFF COMMERCIAL SYNDICATE NIG.,"2 Mount Zion Street, Calabar",07034677363,Unisex Shoes & Luggages,,,"Executive & Ord. Frolly Boxes, School bags, Ladies Shoes",,,Mondays - Saturdays  7am - 8.30pm  
39,COLLINS C OLLECTION,"1 Orok Orok by Goldie street, Calabar",07038729697, Men & ladies wear,,,Unisex cloths,,,Mondays - Saturdays  8am -7pm  
40,COLOUR BOUTIQUE,"FHE Junction Ikot Ansa, Old Odukpani Road, Calabar",07039689511,Men Wears & Accessories,,,,,,Mondays - Saturdays  6.30am - 10pm  
41,COSTUME JEWELLERY ZONE,"8, 199 Ndidem Usang Iso Road Calabar",08032656772,Costume Jewellery,,8 Marian Road Calabar,Jewellery/Boutique,talk2maurice4life@yahoo.com,,Mondays - Saturdays  9am - 8pm  
42,COUTURE ANGELS BERRY,67 Edgerly Road Calabar,09031252352 08174069001,Babies & Adults Wears/Accessories,,,Babies & Adults Wears/Accessories,,,Mondays - Saturdays  8am -7pm  
43,CRYSTAL'S CLOTHES & ACCESSORIES,"21 Ndidem Usang Iso Road, Calabar",08186585415,Adult & Kiddies Clothes,,,"Clothings, Handbags, Weavons",,,Mondays - Saturdays  8am - 6pm  
44,CUTE COUTURE,"28 Etta Agbor Road, Calabar",08063431503,"Shoes, Bags",,,"Shoes, Bags, Jewelleries, Jeans, Watches, Weavon, Jeggings",,,Mondays - Saturdays  8am -7pm  
45,CYMAC SPORT SHOP ,Shop 41 U.J Esuene Stadium,08056366382,Sport Wears,,,"Boot, Jeasey, Football, Basket Ball",,,Mondays - Saturdays  8am - 6.30pm  
46,D BESTWAY BOUTIQUE,"14 Etta Agbor Road, Calabar",08084488350 08054263247,Men & Women Wears,,,"Clothes, Shoes, Bags, Belts,  Watches",,,Mondays - Saturdays  8am - 6pm  
47,DANNIES & GERSH BOUTIQUE,40 Mcc Road Calabar,"08067484526, 08037114174",Unisex Clothing Trends,,,"italian sheos, belt & cloths",,,Mondays - Saturdays  8am - 9.30pm  
48,DAVIVA SHOP A08,"Tinapa Business Resorts, Calabar",08038342827,Fabrics & Textiles Distributions,,,Fabrics & Textiles Distributions,,www.daviva.com,Mondays - Saturdays  10am - 6pm  
49,DE GORGEOUS VOGUE,"82, 98 IBB Way, Calabar",0815778888 08094782686,"Unisex Wears, Cosmetics & Accessories",,"Shop 10/11 Big Qua Shopping Complex, Calabar","Clothes, Shoes, Bags, Belts, Perfumes, Watches",,de-gorgeousnig ltd.com,Mondays - Saturdays  8am - 6pm  
50,DE UNIQUE BOUTIQUE,"Plot 10 Marijohn Plaza, 1st Floor opp. School of Nursing, General Hospital Road, Ogoja",08035508063 07085247022,"Shoes, Hand Bags, Belts, Wallet",,,"Shoes, Hand Bags, Belts, Wallet",,,Mondays - Saturdays  8am - 6pm  
51,DEEBAR PERFUMES & COSEMETICES,21B Mount Zion Road,08175014260,Cosmetics,,,Cosmetics,,,Mondays - Saturdays  8am - 6.30pm  
52,DEVINE KING BOUTIQUE,"38 Atekong Drive, Calabar",08034773642 08096881704,Mens Apparell,,,"Men Clothing, Shoes & Accessories",,,Mondays - Saturdays  8am - 7pm  
53,DIVINE PROVIDENT,94 Ndidem Usang Iso Road Calabar,08034884661 08072830866,Unisex Clothing,,,"Shoes, Shirts, Blouses",,,Mondays - Saturdays  8am - 6pm  
54,DOBIS XCLUSIVE,65 Ndidem Usang Iso Road Calabar,07039448491,Female Wears & Accessories,,,"Clothing, 100% Hair Wefts, Jewelleries",,,Mondays - Saturdays  8am - 8pm  
55,DON - GREY VENTURES,82 Ibb Way Calabar,08063649018 08172323212,"Ladies, Men's Wear",,,"Ladies, Men's, Children Wear",,,Mondays - Saturdays 8am - 6pm
56,DON ORCH NIG. COMPANY,"54 IBB Way, Calabar",08037074648 08181518988,Sewing and Sales Services,,,African & Foreign Wears,donkrist50@yahoo.com,,24hrs/7
57,DRAPERIES GLITERS COUTURE,113 Ndidem Usang Iso Road Calabar,08103003776,Unisex Wears & Accessories,,"D Line 20 Wogi Street, Portharcourt","Shoes, Clothes, Perfume & Jewelleries",,,Mondays - Saturdays  8am - 6.30pm  
58,DRESS CODE,66 Ibb Way Calabar,081354401019 08090957100,Boutique,,,"Trousers, Shirt, Belt, Watches",,,Mondays - Saturdays 8am - 6pm
59,EASY FIT,"34 IBB Way, Calabar",07035216373 08095701072,Unisex Clothing & Shoes,,,"Clothes, Shoes, Accessories",,,Mondays - Saturdays  8am - 7pm  
60,EDDY BEST COLLECTION,"291 Old Odukpani Road, Calabar",09094677042 07050737048,Unisex Wears,,,,,,Mondays - Saturdays  8am - 8pm  
61,EDDY COMPLETE DESIGN,"23 Mary Slessor off Bogobiri, Calabar",08063409206 08093604896,"Turkey, Senegalese, London & Native Wears",,,"Shirts, Natives, Jewelries & Shoes",,,Mondays - Saturdays  8am -5pm  
62,EDDY SELLING POINT,Shop 1 Etim Edem Plaza,"08131249187, 08113251633",Unisex Clothing Trends,,,"Italian Shoes, Belt & Cloths",,,Mondays - Saturdays  8am - 6.30pm  
63,EDIFOR BUTIC,"55 Ekpo Abasi Street, Calabar",09096552359,Clothing,,,"Jean, Shoe & Polo",,,Mondays - Saturdays  8am - 8.30pm  
64,EKI JOHN,"Transcorp Hotels, 10 M/M Highway, Calabar",08130492570,Lifestyle,,,,ekijohn101@yahoo.com,,
65,EKUNIT FASHION TRENDS,35 Atekong Drive Calabar,08037286737,Unisex Wears & Accessories,,,Unisex Wears & Accessories,,,Mondays - Saturdays  8am - 7pm  
66,EMMANUEL FASHION CENTRE,4 Emeobong lane calabar,08039342649,Sewing Mens Wear,,,Sewing Mens Wear,,,Mondays - Saturdays  8am -6pm  
67,ENI-KAS WORLD,"8 Ndidem Usang Iso Road, Calabar",08037113186,Female Clothes & Accessories,,,"Bags, Shoes, Suit",eni-kas@yahoo.com,,Mondays - Saturdays  8am - 7.30pm  
68,ENYBASS COLLECTIONS,"1 Orok Orok by Goldie street, Calabar",08090966243,Men's Wear,,,Men's Wear,,,Mondays - Saturdays  8am -7pm  
69,ESEMMA SHOES,"82 Egerton Street, Calabar",08036703258,"Male, Female & Children Shoes",,,,,,Mondays - Saturdays  8am -5pm  
70,ESTAREL COLLECTIONS,"2 Grace Edet Crescent off Marian Road, Calabar",08063534165 08178194041,"Fabrics, Clothings, Accessories",,,"Quality African Fabrics & Laces, Lingeries",estarelcollections@yahoo.com,,Mondays - Saturdays  8.30am -6pm  
71,FABMANDIEZ,"75/100 MCC Road, Beside Montana Villa, Calabar",08099648188,Fashion Outfits,,,,,,Mondays - Saturdays  9am -7pm  
72,FACO TEEWARES,206 Etim Edem Park,"07035753228, 08056391635",Clothing,,,Shirt & jean,,,Mondays - Saturdays  8am - 6.30pm  
73,FAME,"Line Shop C2, Beside MTN, TINAPA Business Resort, Calabar",08037067452,"Fashion Store for Men, Women and Children",,,"Fashion Store for Men, Women and Children",,,Mondays - Saturdays  8.30am -6pm  
74,FAQ STYLING,"531 Plaza behind Marian Market, Calabar",07039288243 07051025739,A 2 Toe Female,,,"Fashion Accessories like Clothes, Shoes, Bags, Hair, Wristwatches, Jewelleries",justqueenwhite@yahoo.com,,Mondays - Saturdays  7.30am -7.30pm  
75,FEDLITY TRUST BOUTIQE,162 Goldie street Calabar,07064010107,Male wears,,,Foot Wears & Clothings,,,Mondays - Saturdays  8am -8pm  
76,FEKAM UNISEX & CHILDREN BOUTIQUE,"6 Abasi Obori Street, Calabar",08063987528,Unisex Wears (Adult & Children),,,,,,Mondays - Saturdays  8am - 7pm  
77,FELIX COLLECTION,55 Mount Zion Road calabar,08030461061,Men's Wear,,,Men's Wear,,,Mondays - Saturdays  8am -8pm  
78,FELLIX BOUTIQUE,7 Goldie street calabar,07037346923,Boutique,,,"Shoes, Jean, Suits, Trousers, Shirts",,,Mondays - Saturdays  8am - 6.30pm  
79,FLEMGLOF BOUTIQUE,"Sunny Abang Junction, Old Etruni Road, Ikom",07038443334,Men & Women Wears,,,Men & Women Wears,,,Mondays - Saturdays  8am - 7pm  
80,FLOURISH COLLECTION,47 Bedwell Street Calabar,08027416070,Boutique,,,"Shoes, Jeans, Belt, Suits, Shirts & Gown",,,Mondays - Saturdays  8am - 6.30pm  
81,FONZEES CONCEPT,"98 Ndidem Usang Iso Road, Calabar",08130014736,Unisex Wears & Accessories,,,"Clothes, Shoes,Wrist Watches & Accessories",,,Mondays - Saturdays  8am - 7pm  
82,FORTANN BOUTIQUE,55 Ndidem Usang Iso Road Calabar,08063155087 07031813616,Unisex Outfit,,,"Clothing, Shoes, Handbags",,,Mondays - Saturdays  8am - 7pm  
83,FRAGLODORIJOE ITALIAN UNISEX OUTFIT,"Shop 10, Block A,86 Ndidem Usang Iso Road Calabar",07031539180 087290655,Unisex Clothings & Accessories,,,"Clothing, Shoes, Bags, Belts, Perfumes & Accessories",,,Mondays - Saturdays  8am - 6pm  
84,FRANKLYNS WARDROBE,65 Ndidem Usang Iso Road Calabar,08033888148 08052284601,Male Wears & Accessories,,"8 Goldie Street, Calabar","Shirts, Trousers, Belts & Wrist Watches",,,Mondays - Saturdays  8am - 9pm  
85,GEE WEARS COLLECTION,"60 Essien Town, Calabar",08037772185,Unisex Clothes & Accessories,,,"Clothes, Shoes, Accessories & Perfumes",gabrieledubio@yahoo.com,,Mondays - Saturdays  8am - 9pm
86,GENERAL MODEL BOUTIQUE,51 Bedwell Street Calabar,08093608550,Boutique,,,Clothing,,,Mondays - Saturdays  8am - 6.30pm  
87,GLAMOURFIELD BOUTIQUE EXOTICA,"103 Ndidem Usang Iso Road, Calabar",08038452912,Mens Clothing & Accessories,,,"Shirt, Trousers (Jeans & Pants), Suits, Belts & Accessories",,,Mondays - Saturdays  8am - 9pm
88,GLO CONCEPT,"6 Ikom street off Mbukpa, Calabar","08138394697, 08096121474",Women Clothes,,,Women Clothes,,,Mondays - Saturdays  8am -9pm  
89,GLORIWONDA'S CLOTHING & EVENT,"49/52 Ndidem Usang Iso Road, Calabar",08075993947 08185038558,Clothing & Events,,,"Shoes, Hand Bags, Belts, Wedding Gowns, Cake, Chops & Pastries",gloriwonda@yahoo.com,,Mondays - Saturdays  8am - 6pm  
90,GOD IS ABLE SALSAM X-CLUSIVE BOUTIQUE,"33/35 Ediba Road, Calabar",08028257163 08066713176,"Turkey, USA & UK Wears",,,"Ladies, Men's Jeans & Packet Shirts, Children",,,Mondays - Saturdays  8am - 5.30pm  
91,GOOD HEART SHOE REPUBLIC,"110 Old Ikang Road, Calabar",07065645327 08065532650,Unisex Shoes,,"107 Calabar Road, Calabar",Adult & Children Shoes,,,Mondays - Saturdays  8am - 8pm  
92,GOODLOOK OUTFIT ,61/72 Ekpo Abasi Street Calabar,"07037770033, 08076007676",Boutique,,,Unisex cloths,www.Goodlook.com.ng,,Mondays - Saturdays  8am - 8pm  
93,GRACEY COLLECTIONS,75 Ndidem Usang Iso Road Calabar,08035072015 08030722341,Clothing for Adults & Kids,,65 Ndidem Usang Iso Road Calabar,Unisex Clothing (Kids Inclusive) / Cosmetics,,,Mondays - Saturdays  9am - 7pm  
94,GREAT BOUTIQUE,"89 IBB Way, Calabar",08032489521,Unisex Clothing,,21 Joseph line Main Market Onitsha,"Clothes, Shoes & Accessories",,,Mondays - Saturdays  8am - 9pm  
95,GREEN FOLIAGE FASHION /COSMETICS SHOP,"10 Old Barrack Road, Parliamentary Extension, Calabar",08034256748 08171386016,"Unisex Clothing, Jewelleries & Cosmetics",,,"Unisex Clothing, Jewelleries & Cosmetics",,,Mondays - Saturdays  8am - 7pm  
96,GROOM BOUTIQUE,"44 IBB Way, Calabar",07037791652 08184191256,Men's Wear,,,"Shirts, Tie, Shoes, Suits, Trouser, Accessories.",,,Mondays - Saturdays  8am - 7pm  
97,GUC FASHIONS,"115 Old Ikang, Calabar",08092626995,Sewing and Designing,,,Unisex Wears - Natives & English,,,Mondays - Saturdays  8am - 7pm  
98,HAIR CUTZ & SALES OF CDs,"40 Mcc Road, Calabar",08064025145 08183314417,Hair Cutz & Sales Of Audio & Video Cds,,,,,,Mondays - Saturdays  8am -9pm  
99,HAPPITEX LATEST COLLECTION,80/72 Uwanse Street  Calabar,"08139000381, 08179245500",Unisex Clothing Trends,,,"Bags, Shoes, Hair Cream & weavon",,,Mondays - Saturdays  8am - 6.30pm  
100,HAPPY GOLD,73 Ndidem Usang Iso Road Calabar,08035595793 08081105421,"Female Clothes, Bags, Shoes & Jewels",,,"Jewel, Clothing, Perfumes",happygold2011@yahoo.com,happygoldonline.com,Mondays - Saturdays  8am - 8pm  
101,HAPPY WORLD COLLECTION,"81/98 Ekpoabasi Street, Calabar",08032548886,Mens Wear,,,"Shirt, Trousers, T- Shirts",,,Mondays - Saturdays  8am - 9pm  
102,HATABELLS,76/78 Ndidem Usang Iso Road Calabar,08037135507,Female Clothings & Accessories,,,"Clothes, Shoes, Cosmetics & Accessories",,,Mondays - Saturdays  8am - 6pm  
103,HEPIBAH OUTFIT,"75 Ekpo Abasi Street Calabar South,Calabar",08068197154,Clothing,,,Men's wear,clementanea@yahoo.com,,Mondays - Saturdays  8am - 8pm  
104,HOT TRENDS 4 UNISEX,28 Ndidem Usang Iso Road Calabar,08037114200,Unisex Clothing Trend,,,"Shoes, Clothes, Weavon, Perfume & Accessories",uglyndia2002@yahoo.com,,Mondays - Saturdays  8am - 8pm  
105,I.D BEST BOUTQUE,7 Goldie street calabar,"08035492603, 08077004422",Clothing,,,"italian sheos, belt & cloths",,,Mondays - Saturdays  8am - 6.30pm  
106,I.J MAX,"33 Mcc Road, Calabar",08160551210 08056364854,Unisex Clothing,,"42b 2nd Gate Old Parliamentary Village, Calabar",Adult & Kids Clothing & Accessories,,,Mondays - Saturdays  8am - 6.30pm  
107,I-DON DRESS CODE,"110 Old Ikang Road, Calabar",08032227460 08033259842,Unisex Clothing & Accessories,,,"Shoes, Suits, Blazers, Shirts, ",idoreyinbassey01@gmail.com,,Mondays - Saturdays  7.30am - 8.30pm  
108,IMECO BOUTIQUE ,"Block 3 shop 24 Watt Market by Nelson Manadela, Calabar",08034371556,Boutique,,,"Jeans, Shirts, Shoes",,,Mondays - Saturdays  8am - 6.30pm  
109,INTIMATE IMPRESSION,"24/40 Etta Agbor Road, Calabar",08035246060 08076895257,Mothercare & Babies,,,Mothercare & Babies Product,,,Mondays - Saturdays  8am - 7pm  
110,JACKSINO NATIVE WEARS,"65/58 Ndidem Usang Iso Road, Calabar",08033960695 08027511972,Ready Made Native Wears For All,,,"Efik, Ibibio, Igbo, Hausa & Senegalese",,,Mondays - Saturdays  8am - 6pm  
111,JENKRI'S BOUTIQUE,"35 Ekpo Archibong, Parliamentary, Calabar.",08177976528,Unisex Clothing,,,Unisex Clothing (Kids Inclusive),,,Mondays - Saturdays  8am - 8pm  
112,JOE FASHION,"142 Old Odukpani Road, Calabar",08152676749,Men Wears & Accessories,,,,,,Mondays - Saturdays  8am - 6pm  
113,JUST AKEEMS,"76 Ndidem Usang Iso Road, Calabar",07061634970 08038669493,"Men Clothing, Shoes & Accessories",,,"Clothing, Shoes, Suits,  Belts, Watches",,,Mondays - Saturdays  8am - 9pm  
114,JUST JEANS SHOP,30/32 Ndidem Usang Iso Road Calabar,08034415771 08098382279,Just Jeans,,,"Jeans, Trouser, Shirts & Accessories",,,Mondays - Saturdays  8.30am - 7pm  
115,JUSTIN BAFFS,"50 Bedwell Street,Calabar",08036097102,Clothings,,,"Shirts, Jeans, & Shoes",,,Mondays - Saturdays  8am - 6pm  
116,KANDY BOUTIQUE,106 Ekpo Abasi Street Calabar,"07069450357, 08185474381",Male Wears,,,Men's wear,,,Mondays - Saturdays  8am -8pm  
117,KAPREST SERVICES,34 Mayne Avenue Street Calabar,"08053447676, 08032984849",Customised Wears,,,Customised Wears,kapretservice@yahoo.com,,Mondays - Saturdays  8am -8pm  
118,KEKAYO'S STOP N SHOP,"99 Essien Town, Calabar",07033490563,Unisex Adult & Kids & Shoes,,,"Clothes, Bags, Shoes, Accessories",carolinejoseph@yahoo.com,,Mondays - Saturdays  8am - 8pm  
119,KENTATA BOUTIQUE,"Effio-ette Junction, Calabar",07018545556,Mens Apparell,,,"Shirts, Suits, Foot Wear, Jeans",,,Mondays - Saturdays  8am - 10pm  
120,KENTATA MEN @ LARGE BOUTIQUE,"MCC Road by Effio-ette Junction, Calabar",07031509381 08061551969,Mens Wear & Accessories,,,,,,Mondays - Saturdays  8am - 9pm  
121,KIAYEMA WORLD,"1 Etta Agbor Road, Calabar",08037930141,Unisex Wears,,,"Male & Female Clothes, Shoes, Bags",,,Mondays - Saturdays  8am -8pm  
122,KINGS OUTFIT,"30 Etta Agbor Road, Calabar",07069447328,"Shoes, Suits, Shirts, Watches, Perfumes",,,"Shoes, Suits, Shirts, Watches, Perfumes",,,Mondays - Saturdays  8am -9pm  
123,KRISCHA BODY WEAR,"95 Atekong Drive, Calabar",08035485632,Men & Women's Wears,,,Men & Women's Wears,,,Mondays - Saturdays  8am - 6pm  
124,LA' SHAKARA WEARS & BRANDING,"1 Adiabo Street, State Housing, Calabar",07032145503,Wears & Branding,,,"Logos, Banners, T-shirts, Face Caps, Souvenirs",lashakara_culture@yahoo.com,,Mondays - Saturdays  9am - 7pm  
125,LAYERS OF JEWELLERIES,"Shop 12 Big Qua Shopping Mall, Calabar",08037135294,Jewelleries & Accessories,,,"Earrings, Necklaces, Bangles, Rings",,,Mondays - Saturdays  8am - 7pm  
126,LEROY'S,"65 Ndidem Usang Iso Road, Calabar",08033304834,"Clothing, Shoes, Accessories, Bags, Household Items",,,"Clothing, Accessories, Shoes, Bags, Cosmetics, Household Items",,,Mondays - Saturdays  8am -6pm  
127,LEYIUSH FASHION,"15 Parliamentary Road, Calabar",08053538343 07035232580,Fashion Styling & Retail,,,"Fashion Retail, Bridal & Photo Shoot Styling, Make-up Artistry, Wardrobe Consultancy",info@leyuish.com,leyuish.com,Mondays - Saturdays  8am - 7pm  
128,LIGHTZILLION JEWELLERIES,104 Atekong Street Calabar,"08061650847, 08021185883",Jewellery,,,Jewellery,,,Mondays - Saturdays  8am - 6.30pm  
129,LIVING DREAMS BOUTIQUE,39 Ndidem Usang Iso Road Calabar,08036258718,Unisex Clothing,,,"Clothes, Shoes,Bags, Belts & Wrist Watches",,,Mondays - Saturdays  8am - 9pm  
130,LOVE'S IMPRESSION,"40 Mcc Road, Calabar",07034364734,"Casual Outfit, Corporate Attire & Accessories",,,,,,Mondays - Saturdays  7am -9pm  
131,LULU ROSE,21 Ndidem Usang Iso Road Calabar,08187883575,"Clothing, Lingerie, Accessories",,,"Clothing, Lingerie, Accessories",,,Mondays - Saturdays  8am -6pm  
132,MACO-T WEARS,"80A Calabar Road, Calabar",08064026412,Home of Italian Wears,,,Italian Wears,,,Mondays - Saturdays  8am -6pm  
133,MATTHINO EXCLUSIVE,"105 Old Odukpani Road, Calabar",08160727561 08022142976,Men Outfit & Accessories,,,,,,Mondays - Saturdays  8am - 6pm  
134,MCKENZIE COLLECTIONS,"75 Atekong Drive off Marian Road, Calabar",0810293911 08188942426,Female Clothes & Accessories,,,"Clothes, Shoes, Handbags, Caps, Belts, Perfumes, Sunshades",aisha4grant@yahoo.com,,Mondays - Saturdays  8am - 7pm  
135,MEE FASHION AND COSMETICS,"22 Ndidem Usang Iso Road, Calabar",08036973653,Unisex Clothing & Make-up,,,"Clothes, Shoes, Make-up Product",,,Mondays - Saturdays  8am - 7pm  
136,MEGTOBAS WORLD BOUTIQUE,"NAOWA Shopping Mall Old Odukpani Road, Calabar.",07035027781 08082817116,Unisex Wears & Foreign Suits,,,,megtobas@yahoo.com,,Mondays - Saturdays  8am - 7pm  
137,MEN AT LARGE BOUTIQUE,84 Mcc Road Calabar,08061551969 08080786481,Boutique,,,"Watches, Belt, Shoes, Shirt, Trouser.",,www.menatlargeboutique.com, Mondays - Saturdays 8am - 7pm
