EDUCATIONAL SERVICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
66,AUNTY STELLA MEMORIAL MODEL SCHOOL(TINY TOTS),"Okon Esuk Akiba off Ikot Ansa, Calabar Municipal",08033536764,Private Nursery / Primary School,,,,auntystellamemorialschool@gmail.com,,
67,AYE INT'L SCHOOLS,"32/33 Ikot Eyo Street, 16b Johnson Ishie Street, Calabar Municipal",08069167743,"Private Nursery, Primary/Secondary School",,Assurance Nursery/Primary  School,,,,
68,BAKO COMPREHENSIVE SECONDARY SCHOOL,"Ekpugrinya, Ogoja",,Private Secondary School,,,,,,
69,BANKDEE NURSERY/ PRIMARY SCHOOL,"2 Musaha Close, Calabar South",07030296534,Private Nursery / Primary School,,,,,,"Mondays - Friday,          8am- 2pm"
70,BAPTIST NURSERY/ PRIMARY SCHOOL,"115 Ekpo Abasi Street, Calabar South",08036821909,Private Nursery / Primary School,,,,,,"Mondays - Friday,          8am- 2.30pm"
71,BASIC INT'L SCHOOL,"Eshie Agurubae Osokom, Boki",,Private Nursery / Primary School,,,,,,
72,BAYOBRE COMMUNITY SECONDARY SCHOOL,"Bayobre Village, Ukpe, Obudu",,Private Secondary School,,,,,,
73,BEBI COMMUNITY TECHNICAL COLLEGE,"Beebong - Bebi Ward, Obanliku",,Private Secondary School,,,,,,
74,BECHEVE COMMUNITY SECONDARY SCHOOL,"Belinge Village, Obanliku",,Private Secondary School,,,,,,
75,BEL INT'L SCHOOL,"Plot 121 Asari Eso Layout, Calabar Municipal",08051683881,"Private Nursery, Primary/Secondary School",,,,,,
76,BENCARSON NURSERY/ PRIMARY SCHOOL,"Igoli, Ogoja",,Private Nursery / Primary School,,,,,,
77,BENEDICTION NURSERY/ PRIMARY SCHOOL,Igolo - Afork Abakpa Ogoja,,Private Nursery / Primary School,,,,,,
78,BENKING'S COMM. COLLEGE,"Nkonfap Community Abanyom, Ikom",,Private Secondary School,,,,,,
79,BEN'S SCHOOLS,"Otalosi Unit, Obioko Clan, Yakurr",,"Private Nursery, Primary / Secondary School",,,,,,
80,BERTHY NURSERY/ PRIMARY SCHOOL,"5 Old Jebs Road, Calabar South",08037959889,Private Nursery / Primary School,,,,,,"Mondays - Friday,          8am - 4pm"
81,BEST CHRISTIAN NURSERY /PRIMARY SCHOOL,"35 Ojor Road, Akamkpa",,Private Nursery / Primary School,,,,,,
82,BETHEL CHILDREN ACADEMY,"Ijegu - Yache, Yala",,Private Nursery / Primary School,,,,,,
83,BETTER CARE INT'L NURSERY/ PRIMARY SCHOOL,"Agbokim Water Fall, Etung",,Private Nursery / Primary School,,,,,,
84,BEULAH INT'L ACADEMY ,"22 Ikot Eneobong Crescents, Calabar Municipal",08137940921,Private Nursery / Primary School,,,,,,
85,BEULAH INT'L NURSERY/ PRIMARY SCHOOL,"Behind OtuAgbor Okundi, Boki",,Private Nursery / Primary School,,,,,,
86,BILL MERCHANT INTERNATIONAL INSTITUTION,"92 Mbukpa Road, Calabar",08064011722 08063813337,Secondary Schools,,,JSS1 -SS2,billmereds@yahoo.com,,"Mondays - Friday,          7am- 4pm"
87,BISHOP BASSEY EFFIOM MEMORIAL ACADEMY,"16 Nancy Potter Ave. Victoryland, Kakwagom, Boki",,Private Nursery / Primary School,,,,,,
88,BISHOP CROWDER NURSERY / PRIMARY SCHOOL,Alifokpa - Yala,,Private Nursery / Primary School,,,,,,
89,BISHOP ETUKIDEM MODERN SCHOOL,"Ikot Nkebre, Calabar Municipal",08033646818,Private Nursery / Primary School,,,,,,
90,BISHOP GREY NURSERY/ PRIMARY SCHOOL,"Okpeche Afrike, Bekwara",,Private Nursery / Primary School,,,,,,
91,BLESSED CENTRE SCHOOLS,"Assemblies of God Okundi, Boki",,"Private Nursery, Primary / Secondary School",,,,,,
92,BLESSED CHILD ACADEMY NURSERY/ PRIMARY SCHOOL,"Ovonum, Obubra",,Private Nursery / Primary School,,"28 Bekpam New Layout, Obudu",,,,
93,BLOSSOM HIGH SCHOOL,"1 Rev. Mbukpa Close Off Palace Road, Calabar South",,"Private Nursery, Primary/Secondary School",,,,,,
94,BMJ WEST AFRICA EDITION COMPUTER SCHOOL,"20 Etta Agbor Road, Calabar",08033183236 08138359970,Computer Training School,,,"6 Months Diploma Programme, 3 Month Certificate Programme",,www.bmjwa.com,"Mondays - Friday,          8am- 5pm"
95,BOSOK MODEL COLLEGE,"Akparabong, Ikom",,Private Secondary School,,,,,,
96,BOSOK NURSERY/ PRIMARY (CENTRE OF ZION),"PCN Akparabong Parish, Etung",,Private Nursery / Primary School,,,,,,
97,BRAINS INT'L NURSERY/ PRIMARY SCHOOL,"Ikot Effiom Eyamba, 8 Miles, Calabar Municipal",,Private Nursery / Primary School,,,,,,
98,BRIDGE - END INT'L NURSERY/ PRIMARY SCHOOL,"Block 8, Plot 1 Federal Housing Estate, Calabar Municipal",08033446477 08037051236 08060646797,Private Nursery / Primary School,,,,,,
99,BRIGHT FUTURE SCHOOLS,"Itate, Okuku - Yala",,"Private Nursery, Primary/Secondary School",,,,,,
100,BRIGHT HOPE INT'L NURSERY/ PRIMARY SCHOOL,"48 Atu Street, Calabar South",09091955101 08182796538,Private Nursery / Primary School,,,,,,
101,BRILLIANT CHILDREN ACADEMY,"41/43 Wilkie Street by White House, Calabar South",08055809449 08056642669,Private Nursery / Primary School,,,,,,
102,BRITISH SCHOOL OF PROJECT MANAGEMENT,"21 Ediba Road, Opposite RCCG, Garden of Joy Parish, Calabar",08069054806 08134939256,"American Project Management Programme, British Executive Masters Certificate & Global Advance Diploma in Project Mgt",,,"APMP, BEMC & GADP",,www.schoolofprojectmanagement.co.uk,Mondays - Saturdays 9am - 5pm
103,BROTHERHOOD INT'L SCHOOL,"10 Ene Edet Street, Calabar South",07030351014 08032979730,"Private Nursery, Primary/Secondary School",,,,,,
104,CALABAR IMPERIAL COLLEGE NURSERY/PRIMARY SCHOOL,"Block A, Plot 39/41 Esuk Atu Diaspora Village behind UCTH Doctors Quarters, Calabar",08038436409 08090970937,Private Nursery / Primary School,,,,,,"Mondays - Friday,          7.30am- 3pm"
105,CALABAR PREPARATORY INT'L SCHOOL,"74 Eta Agbor Road, Calabar Municipal",08064028225,Private Nursery / Primary School,,,,,,"Mondays - Friday,          7.30am- 3pm"
106,CALAVARY NURSERY/ PRIMARY SCHOOL,"Opposite Segen Quarters Behind State Housing, Ikom",,Private Nursery / Primary School,,,,,,
107,CAMBRIDGE CHRISTIAN COMM. SCHOOL,"1 Hospital Road, Njelekoko - Ugep, Yakurr",,Private Secondary School,,,,,,
108,CENTRAL DEMONSTRATION COLLEGE,"Idiku Village Okpoma, Yala",,Private Secondary School,,,,,,
109,CENTRAL NURSERY/ PRIMARY SCHOOL,"Akpet Central, Biase",,Private Nursery / Primary School,,,,,,
110,CENTRE FOR FOREIGN LANGUAGES," Ndidem Usang Iso Road, Calabar Municipal",08034123034,Learn French & Spanish,,,,,,
111,CEO STAFF MODEL SECONDARY SCHOOL,"Awi, Akamkpa",,Private Secondary School,,,,,,
112,CHARLES ANTHONY INT'L SCHOOL,"Ishi Aya Ibil, Ogoja",,"Private Nursery, Primary/Secondary School",,,,,,
113,CHARLES WALKER NURSERY / PRIMARY SCHOOL,"7 Ewa Ekeng Street, Calabar South",07069156920,Private Nursery / Primary School,,,,,,
114,CHARLIE BEST COLLEGE,"Ikot Okon Akiba, Odukpani",,Private Secondary School,,,,,,
115,CHILDREN OF PROMISE CHRISTIAN NURSERY/ PRIMARY SCHOOL,"4 Ekong Lane / 14 CP Daniel Anyogo Street, Satelite Town, Calabar",08067082174 08074764955,Private Nursery / Primary School,,"Ebegang, Bekwara",,coprocs@yahoo.com,www.coprocs.com,"Mondays - Friday,          7am- 3pm"
116,CHRIST FOUNDATION NURSERY/ PRIMARY SCHOOL,Calabar Municipal,,Private Nursery / Primary School,,,,,,
117,CHRIST SPRINGFIELD INT'L NURSERY/ PRIMARY SCHOOL,"New Layout, Orimekpang, Boki",,Private Nursery / Primary School,,,,,,
118,CHRIST THE KING,"Kakwagom Irruan - Oshie Village, Boki",,Private Nursery / Primary School,,,,,,
119,CHRIST THE KING COLLEGE,"Mbok II Ekajuk, Ogoja",,Private Secondary School,,,,,,
120,CHRIST THE KING COMPREHENSIVE ACADEMY,"Etandere Ijiegu Yache, Yala",,Private Secondary School,,"Abo Mkpang, Boki",,,,
121,CHRIST THE KING SCHOOLS,"16 Abasi Do Street/6 Nsit Street, Calabar South",08067927502,"Private Nursery, Primary/Secondary School",,,,,,
122,CHRIST THE KING NURSERY/ PRIMARY SCHOOL,Okpoma - Yala,,"Private Nursery, Primary/Secondary School",,,,,,
123,CHRISTIAN DIAMOND NURSERY/ PRIMARY SCHOOL,"Akpa Okon Ene Ita, Bakassi",,Private Nursery / Primary School,,,,,,
124,CHRISTIAN FAMILY SECONDARY SCHOOL,"Kachie/Asuben, Boki",,Private Secondary School,,,,,,
125,CHRISTIAN FOUNDATION NURSERY/ PRIMARY SCHOOL,"18 Obudu Street, Igoli - Ogoja",,Private Nursery / Primary School,,,,,,
126,CHRISTIAN SCHOOLS,"28/64 Atakpa Street, Calabar South",08035070726,"Private Nursery, Primary/Secondary School",,"Ikandagha Road, Igodor - Kum Iburr, Ogoja / Isong Inyang, Akamkpa",,,,
127,CHRISTIAN IMAGINATION NURSERY/ PRIMARY SCHOOL,"Winuka - Afaben Mkpani, Yakurr",,Private Nursery / Primary School,,,,,,
128,CHRISTIAN NURSERY/ PRIMARY SCHOOL,"Ochon Behind Timber Market, Obubra",,Private Nursery / Primary School,,,,,,
129,CHRISTIAN SCIENCE COLLEGE,"Plot 10 N - Line, Federal Housing Estate, Calabar Municipal",08055332397 08185414092,Private Secondary School,,"Plot 70 Grace Crescent, University Satelite Town, Calabar Municipal",,csc@yahoo.com,,Mondays - Fridays  7am -3pm  
130,CHRISTIAN SECONDARY COMM. SCHOOL,"Iyamitet Road, Iyamitet, Obubra",,Private Secondary School,,,,,,
131,CHRISTIAN SCHOOLS,"2/3 Church of Christ Road, Apiapum, Obubra",,"Private Nursery, Primary/Secondary School",,"Old Mkpani Road, Ntan Ekori, Yakurr",,,,
132,CHRISTO COLLEGES,"30 Ekeya Street, Calabar South",08034048554,Private Secondary School,,,,,,
133,CHRISTO NUSERY & PRIMARY SCHOOL,"20 Eket Street, Calabar","08034048554, 08051986176",Teaching,,,Nursery & primary School,,,Mondays - Saturdays  8am -4pm  
134,CLASSICAL INT'L COLLEGE,"Ebo Road, Yahe - Yala",,Private Secondary School,,,,,,
135,CLEMO  SCHOOLS,"346 Old Odukpani Road, Calabar Municipal",07039422903 08146180961,Private Secondary School,,,,,,Mondays - Fridays  7am -3pm  
136,COMFORTERS GROUP OF SCHOOLS,"7 Thompson Close, Calabar South",08169735779 08068898764,Private Nursery / Primary School,,,,,,
137,COMMAND CHILDREN NURSERY/ PRIMARY SCHOOL,Calabar Municipal,,Private Nursery / Primary School,,,,,,
138,COMMUNITY HIGH SCHOOL,"Olum, Boki",,Private Secondary School,,"Ekukunela Village, Ofutor Ward II, Ikom",,,,
139,COMMUNITY SCIENCE SCHOOL,"Mkpot Ward, Etung",,Private Secondary School,,,,,,
140,COMMUNITY SECONDARY  SCHOOL,"4 Ofumbougha, Ararargha, (Obubra)",,Private Secondary School,,"Ikpene - Erei, Edu - EreIi, Ibini - Erei, Betem, Abayong (Biase)",,,,
141,COMMUNITY SECONDARY SCHOOL,"Utukpo Gabu, Ezekwe North Ukelle, Echumofana, Okumenyi, Ntrigom-South Ukelle, Wonye - Yache (Yala)",,Private Secondary School,,"Butatong, Okwa, Ubong, Okwangwo Village, Bamba, (Boki)",,,,
142,COMMUNITY SECONDARY SCHOOL,"Nkim, Opu, Akam, (Ikom)",,Private Secondary School,,"Ikpalegwa, Abi / Ifumkpa, Akamkpa",,,,
143,COMMUNITY SECONDARY SCHOOL,"Ijakar, Ekugati, (Etung)",,Private Secondary School,,"Ntinton Junction, Ekori - Yakurr",,,,
144,COMMUNITY SECONDARY SCHOOL,"Ukpe 11 Nkum Iborr, Ogoja",,Private Secondary School,,,,,,
145,COMPREHENSIVE HIGH SCHOOL,"Idoma, Biase / Alesi Junction, Ikom",,Private Secondary School,,"Opp. Primary School Adagom, Kakwagom Irruan, Boki",,,,
146,COMPREHENSIVE SECONDARY SCHOOL,"Ohana, Isobo, Edondon (Obubra)",,Private Secondary School,,"Diamond Hill, Ekpoka Village, Usumutong - Abi / Nde-Afi Central, Ikom",,,,
147,CONFIDENCE PRO. NURSERY/ PRIMARY SCHOOL,"Edodond, Abini Village, Biase",,Private Nursery / Primary School,,,,,,
148,CONFIDENT KIDS NURSERY/ PRIMARY SCHOOL,"Igoli, Ogoja",,Private Nursery / Primary School,,,,,,
149,CORNERSTONE SCHOOLS,"Busanfong Village, Sankwala, Obanliku",,"Private Nursery, Primary / Secondary School",,,,,,
150,COVENANT TECHNICAL COLLEGE,Okpoma - Yala,,Private Secondary School,,,,,,
151,CRADLE BAY SCHOOLS,"Plot 108 Block F Etta Agbor Layout, Calabar Municipal",08162700058 08180104171 08164984681,Private Secondary School,,,,,,
152,CRBDA NURSERY/ PRIMARY SCHOOL,"Ikot Effanga KM 8, Calabar Municipal",,Private Nursery / Primary School,,,,,,
153,CRINA SCHOOLS,"Ajassor, Etung",,"Private Nursery, Primary / Secondary School",,"7 Ogar Njor Street, Ajassor, Yala",,,,
154,CROWN MODEL COLLEGE,"16 Church Road, Four Corners, Ikom",,Private Secondary School,,,,,,
155,DAGLO SCHOOLS,"10 Essien Etim Offiong Avenue, Calabar Municipal",08032919634,"Private Nursery, Primary / Secondary School",,,,,,
156,DANGLAD SCHOOLS," 19/61 Atu Street / 111 Palm Street, Calabar South",08181279436 08063602635,"Private Nursery, Primary / Secondary School",,"Ikot Edem Odo, Akpabuyo",,,,
157,DE - FORTUNE ACADEMY,"33 Essien Street, Calabar South",08055668264 07062929497,Private Secondary School,,,"JSS1 -SS3, Evening School",,,"Mondays - Fridays 7am - 4pm, 4 - 6pm"
158,DE - JOY INT'L NURSERY/ PRIMARY SCHOOL,"Edor, Ikom",,Private Nursery / Primary School,,,,,,
159,DE FAMOUS NURSERY/ PRIMARY SCHOOL,Calabar South,,Private Nursery / Primary School,,,,,,
160,DE PRINCE KIDDIES SCHOOL,"Ikang - Calabar Road Ikang, Bakassi",,Private Nursery / Primary School,,,,,,
161,DE WIS GROUP OF SCHOOLS,"5 Asuquo Inyang Street, Anantigha / 88 Mayne Avenue, Calabar South",08035082546,Private Nursery / Primary School,,,,,,
162,DEEPER LIFE HIGH SCHOOL,"Ikot Offiong Ambai, Akpabuyo","08034952373, 08158190084",Quality Education,,,Full Boarding,dlhscalabar@yahoo.com,,8.00a.m - 2:10p.m
163,DE-JOY ACADEMY,"Edor, Ikom",,Private Secondary School,,,,,,
164,DELIGHTSOME INT'L NURSERY/ PRIMARY SCHOOL,"Odukpani Junction, Odukpani",,Private Nursery / Primary School,,,,,,
165,DEMONSTRATION SCHOOL F.C.E.,"F.C.E. P.M.B. 1038, Obudu",,Private Nursery / Primary School,,,,,,
166,DE-MONTU INT'L NURSERY / PRIMARY SCHOOL,"8 Ndon Edet Street off Atamunu Lane, Calabar South",08036709490 08064298088,Private Nursery / Primary School,,,,,,
167,DESTINY CHILDREN NURSERY/ PRIMARY SCHOOL,"1 Ishie Layout Street off Otu Street Ikot Ishie, Calabar Municipal",08055538015,Private Nursery / Primary School,,,,,,
168,DESTINY FOUNDATION SCHOOL,"32 Ikot Nakanda - Ikang Road, Akpabuyo",,Private Nursery / Primary School,,,,,,
169,DESTINY FOUNDATION SECONDARY SCHOOL,"139 Goldie Street, Calabar",08130986208 08130669669,Private Nursery / Primary School,,,,,,
170,DESTINY SECONDARY SCHOOL,"Nkeira - Utugwang, Obudu",,Private Secondary School,,"Kakwagom, Boki",,,,
171,DETERMINATION STANDARD NURSERY/ PRIMARY SCHOOL,"283 Murtala Mohammed Highway, Calabar Municipal",08036895661,Private Nursery / Primary School,,,,,,
172,DIAMOND INT'L NURSERY/ PRIMARY SCHOOL,"Esit Ikot Nsidung, Bakassi",,Private Nursery / Primary School,,,,,,
173,DIAMOND KIDS MONTESSORI SCHOOL,"147 MCC Road, Calabar",08169581459,Private Nursery / Primary School,,,,,,
174,DIVINE HERITAGE NURSERY/ PRIMARY SCHOOL,"Bebuabong Village, Obudu",,Private Nursery / Primary School,,,,,,
175,DIVINE INT'L ACADEMY,"21 Murtala Mohammed Highway, Calabar Municipal",,Private Secondary School,,,,,,
176,DIVINE LIFE NURSERY/ PRIMARY SCHOOL,"Etomi, Etung",,Private Nursery / Primary School,,,,,,
177,DIVINE LOVE NURSERY/ PRIMARY SCHOOL,"Ogra, Biase",,Private Nursery / Primary School,,,,,,
178,DIVINE MISSION INT'L NURSERY/ PRIMARY SCHOOL,"1 Technical Road, Ikot Effanga Mkpa, Calabar Municipal",08100557673,Private Nursery / Primary School,,,,,,"Mondays - Friday,          8am- 3pm"
179,DIVINE POWER NUSERY/PRIMARY SCHOOL,"56 New Airport Road, Anantigha, Calabar South","08023799516, 08097392107",Teaching,,DIVINE TECHNICAL COLLEGE,"Nursery, Primary & Secondary School",,,"Mondays - Friday,          8am- 4pm"
180,DIVINE VICTORY ACADEMY,"15 Efut Street, Calabar South",08068324412,Private Nursery / Primary School,,,,,,
181,DIVINITY NURSERY/ PRIMARY SCHOOL,"Uyanga, Akamkpa",,Private Nursery / Primary School,,,,,,
182,DOROTHY CRECHE / NURSERY SCHOOL,"Block 4, Plot 26 Unical Satelite Town, Calabar",08026710737,Nursery School,,,,,,
183,D'S & I DRIVING SCHOOL,"Effio Ette Junction off  MCC Road, Calabar",08033930054,Driving School,,,,,,Mondays - Fridays 8am - 6pm
184,DUKE TOWN SECONDARY SCHOOL,"34 Anderson, Calabar South",,Private Secondary School,,,,,,
