RELIGION,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
46,BANNER OF GOD'S GRACE CHURCH,93 Uwanse Street Calabar,,,,,,bannerofgrace@yahoo.com,,Tuesday: 6pm          Friday: 6pm                  Sunday: 8:30am
47,BEAUTY FOR ASHES INT'L ,41 M/M Highway Opp Federal High Court Calabar,,,,,,,,Wednessday: 6 - 7:30pm                         Saturday: 5pm               Sunday: 8am
48,BIBLE CHRISTIAN CRUSADERS MISSION,55 Webber Street Calabar,,,,,,,,Wednessday: 5pm      Sunday: 8am
49,BIBLE STANDARD CHRISTIAN MINISTRY,4 Eastern Highway Off Goldie Street Calabar ,,,,,,,,Monday: 5:30pm           Wednessday: 6pm     Sunday: 10am
50,BIBLE STANDARD CHURCH,6 Eastern Highway Lane Calabar,,,,,,,,Wednessday: 5:30pm     Friday: 6pm             Sunday:10am
51,BLESSED ASSURANCE MISSION,29 Richard Henshaw Street Calabar,,,,,,,,Monday: 5pm Tuesday: 6pm            Thursday: 6pm              Sunday: 10am      
52,BLESSED ZION CHURCH,88 Atimbo Road Calabar,,,,,,,,Monday: 5pm           Wednessday: 6pm      Friday: 5pm              Sunday: 8am
53,BROTHERHOOD OF THE CROSS & STAR,65 New Airport Road Calabar,,,,,,,,Monday: 5pm             Tuesday: 5pm                   Sunday: 10am
54,BROTHERHOOD OF THE CROSS & STAR,77 Old Odukpani Road Calabar,,,,,,,,Monday: 5pm             Tuesday: 5pm                   Sunday: 10am
55,BROTHERHOOD OF THE CROSS & STAR,5 Etim Effiom Lane Calabr,,,,,,,,Monday: 5pm             Tuesday: 5pm                   Sunday: 10am
56,BROTHERHOOD OF THE CROSS & STAR,44 Mayne Avenue Calabar,,,,,,,,Monday: 5pm             Tuesday: 5pm                   Sunday: 10am
57,BROTHERHOOD OF THE CROSS & STAR,8 Ewa Henshaw Street Calabar,,,,,,,,Monday: 4pm          Tuesday: 4pm   Wednessday: 12am till dawn                          Sunday: 10am
58,CALABAR CITY CHURCH,98 Marian Road Calabar,,,,,,,,Sunday  9am (1st Service)     10.30am (2nd Service)
59,CALVARY CHURCH MISSION (NATIONAL HEADQUARTERS),118 Old Odukpani Road Calabar ,,,,,,,,Tuesday: 6pm (Bible Study)          Wednessday: 6am  (Fasting)          Thursday: 7pm Sunday: 9am
60,CALVARY CHURCH OF GOD MISSION,118 Old Odukpani Road Calabar ,,,,,,,,Tuesday: 6pm                Wednessday: 6am         Thursday: 7pm                  Sunday: 9am
61,CATHOLIC ARCHDIOCESE OF CALABAR ,12 Iman Street Calabar,,,,,,,,"Wednessday: 5pm          Sunday: 7am, 9am"
62,CATHOLIC ARCHDIOCESE OF CALABAR (OUR LADY QUEEN OF ANGELS) (AIRPORT PARISH),38/53 Edim Otop Street Calabar,,,,,,,,"Wednessday: 6pm       Sunday: 6am, 8am, 10am"
63,CATHOLIC ARCHDIOCESE OF CALABAR (SACRED HEART CATHEDERAL),71 Egerton Street Calabar,,,,,,,,Sundays: 8am
64,CATHOLIC ARCHDIOCESE OF CALABAR (ST. BRENARD PARISH),Marian Hill Calabar,,,,,,,,Sunday Masses: 8am (English) 10am (English & Latin) 6pm (Enhlish)
65,CATHOLIC ARCHDIOSES OF CALABAR (HOLY FAMILY) ,Ibom Layout Big Qua Town Calabar,,,,,,,,Tuesday: 6am               Wednessday: 6am         Thursday: 6am        Friday: 6am                  Sunday: 6am (Efik)  8am (English)  10am (English & Latin)
66,CATHOLIC ARCHDISES OF CALABAR,Ediba Qua Town (SaintPeter's),,,,,,,,"Wednessday: 6pm Sunday: 7am, 9am"
67,CELESTIAL CHURCH OF CHRIST (PARISH 2),32 Otokang Street Calabar,,,,,,,,Monday: 6pm         Tuesday: 6pm               Friday: 6am (Morning)  6pm(Evening)             Sunday: 10am
68,CELESTIAL CHURCH OF CHRIST (PARISH V),42/97 Esirebom Street Calabar,,,,,,,,Wednessday: 6pm      Friday: 6pm                  Sunday: 10am
69,CELESTIAL CHURCH OF CHRIST (THE MOTHER PARISH),"158 Old Odukpani Road, Ikot Ansa Calabar",,,,,,,,Monday: 5pm(Bible Study)                    Sunday: 8am
70,CHANNEL POINT INTERNATIONAL CHURCHES ,Effio ette Junction Calabar,8180673653,,,,,,,Wednessday: 5:30pm                           Sunday: 8am
71,CHARISMATIC RENEWAL MINISTRY,68 School Roa Satelite Town Calabar ,,,,,,,,Thursday: 6pm          Sunday: 9am
72,CHEERING NEWS CHRISTIAN CHURCH ,Plot 5/6 Esuk Atu By Doctor's Quarters UTCH  Permanent Site Calabar,08180538565  08067850917,,,,,,,Tuesday: 6pm                Thursday: 6pm        Sunday: 9am
73,CHOSEN TESTIMONY CHAPEL (CTC),93B Old Odukpani Road Essien Town Calabar,8037048469,,,,,justiceuniversal@yahoo.com,,Wednessday: 5:30pm     Friday: 5:30pm             Sunday: 9am
74,CHRIST APOSTOLIC CHURCH,Plot 174 Etta Agbor Layout Calabar,8064362891,,,,,,,Tuesday: 5pm (Bible Study)                   Thursday: 5pm (prayer meeting)
75,CHRIST APOSTOLIC CHURCH,64 Mbukpa Road Calabar,,,,,,,,Wednessday: 6pm        Friday: 7pm             Sunday: 10am
76,CHRIST APOSTOLIC CHURCH,70 Edim Otop Street Calabar,,,,,,,,Monday: 5pm             Wednessday: 7:30 - 10pm                       Friday: 7:30 - 10pm    Sunday:10 - 12pm
77,CHRIST APOSTOLIC CHURCH (MOUNT OF REDEMPTION),Kasuk Town Behind Doctors Quarters Off M/M Highway Calabar,,,,,,,,Sunday: 10 - 12pm
78,CHRIST APOSTOLIC FREEDOM CHURCH,25 Atamunu Street Calabar,,,,,,,,Thursday: 6 - 8pm          Sunday: 10 - 1pm
79,CHRIST ASCENSION CHURCH NIGERIA,13 Wilkie George Street Calabar ,,,,,,,,Sunday: 8-10:30am
80,CHRIST CHOSEN CHURCH OF GOD ,Ikot Ansa (4miles) Calabar,,,,,,,,Sunday: 8am (Sundday School) 9am (Worship)
81,CHRIST CHURCH DELIVERANCE MINISTRY INT'L (BEATIFUL GATE) ,8miles Calabar ,,,,,,,,Sunday: 8:30am
82,CHRIST COMPLETE MISION INT'L OUTREACH,Mutete Adjacent S.P.C Gate Off Old Odukpani Road Ikot Ansa Calabar,8062776206,,,,,,,Sunday: 8am (Worship)    5pm(Healing Service)
83,CHRIST DIPLOMATS INT'L,41/43 Wilkie Street By White House Calabar,,,,,,,,Sunday: 8am 
84,CHRIST EMBASSY,2 Inyang Ekeng Street Calabar,,,,,,,,Tuesday: 6pm          Saturday: 6pm           Sunday: 8am
85,CHRIST EMBASSY,51 Pabet Filing Station Atimbo Calabar,,,,,,,,Tuesday: 6pm         Saturday: 6pm        Sunday: 8am
86,CHRIST EMBASSY (CALABAR ROAD),2 Inyang Ekeng Street Calabar,,,,,,,,Wednessday: 5:30pm   Friday: 9pm (Night of Bliss)                     Sunday: 8am
87,CHRIST EMBASSY (IKOT ANSA),373 Old Odukpani Road 4miles Opp Mechanic Place Calabar,,,,,,,,Sunday: 8:30 - 11:30am                              4- 8pm (1stof everymonth)
88,CHRIST EMBASSY EKPO ABASI,50 Ekpo Abasi Street Calabar,,,,,,,,Wednessday: 6pm       Friday: 5:30pm           Sunday: 8am
89,CHRIST EMBASSY HIGHWAY,205 Old Odukpani Road By Ikot Effa Round about Calabar,,,,,,,,Wednessday: 6pm (Midweek Service)                Sunday: 8am
90,CHRIST FOR THE WORLD MISSION,(Airport Branch) 25/35 Otu Ansa Street ,,,,,,,,Tuesday: 5:30 - 7:30pm               Friday:5:30 - 7:30pm  Sunday: 10 - 12pm     
91,CHRIST FOR THE WORLD MISSION,5 Ekpeyong Abasi Street Calabar,,,,,,,,Tuesday: 5:30 - 7:30pm               Friday:5:30 - 7:30pm  Sunday: 10 - 11:45am     
92,CHRIST FOR THE WORLD MISSION,17 Orok Ita Street Calabar,,,,,,,,Tuesday: 6pm           Friday: 6pm                   Saturday: 4pm               Sunday: 9:30am
93,CHRIST FOR THE WORLD MISSION,36 Abasi Obori Street Calabar,,,,,,,,Tuesday: 5 - 7pm         Friday: 5- 7pm    Sunday: 9am
94,CHRIST FOR THE WORLD MISSION,34/35 Otu Nsa Street Calabar,,,,,,,,Tuesday: 5 - 7pm         Friday: 5- 7pm    Sunday: 9 - 11am
95,CHRIST FOR THE WORLD MISSION,15 Orok Ita Street Calabar,,,,,,,,Tuesday: 5 - 8pm        Friday: 5 - 8pm                Sunday: 9 - 11am
96,CHRIST FOR THE WORLD MISSION INC. (CITY OF EXCELLENCE),"60/184 Ikot Ansa Effiong Nta, Off Old Odukpani Road, Calabar",,,,,,,,Sunday: 8-9am (Sunday School)  9- 12pm (Worship Service)
97,CHRIST GLORIOUS MINISTRY CHAPEL  LIBERATIONS,18 Adak Uko Street Calabar,,,,,,,,Tuesday: 6pm              Thursday: 6 - 8pm               Sunday: 10 - 1pm
98,CHRIST HOLY CHURCH,54 Yellow Duke Street Calabar,,,,,,,,Monday: 6pm            Tuesday: 6pm                 Wednessday: 6pm     Friday: 9am              Sunday: 9am
99,CHRIST HOLY CHURCH INT'L,49 Edibe Edibe Street Calabar,,,,,,,,Monday: 6pm          Tuesday: 6pm      Friday: 6pm                        Sunday: 9 - 12pm
100,CHRIST LIBERATION CHURCH,28/10 Edibe Edibe Road Calabar,08160551917   08059676806,,,,,,,Tuesday: 6pm            Wednessday: 8am       Thursday: 6pm        Sunday: 10 -12pm
101,CHRIST LIGHT CHRISTIAN MISSION,3A Ekpo Abasi Lane Calabar,,,,,,,,Tuesday: 6pm            Thursday: 7am (Fasting)                      Friday: Counselling        Sunday: 8am
102,CHRIST PORTION CHURCH,40 Eyo Ita Street Calabar,08062629686   08073650318,,,,,,,Thursday: 6pm          Sunday: 9am
103,CHRIST POWER MIRACLE CHURCH,1 Adak Uko Street Calabar,,,,,,,,Tuesday: 6 - 8pm     Thursday: 6 - 6pm Friday: 6 - 9pm  Sunday: 10 - 1pm
104,CHRIST REDEMPTION LIFE CHURCH  (THE CLOUD OF GLORY MINISTRY),104 Palm Street Calabar,,,,,,,,Monday: 6 - 8pm           Sunday: 9 -12pm
105,CHRIST SALVATION CHURCH,"10 Eyo Ishie Street, Ishie Town  Calabar",,,,,,,,Sunday: 8-10am (Sunday School) 10-12pm (Divine Services)
106,CHRIST THE HOPE OF THE WORLD,25 Mayne Avenue Street Calabar,,,,,,,,Tuesday: 6 - 8pm        Friday: 6 - 8pm                Sunday: 10 - 12pm
107,CHRISTIAN CENTRAL CHAPEL INT'L ,At City of Testimonies Ikot Eneobong 8miles Calabar,7030373149,,,,,,,Tuesday: 4:30pm Sunday: 8am
108,CHRISTIAN CHURCH,Parliamentary Road Extention Calabar,7037510062,,,,,,www.faithwayglobaloutreach.org,Wednessday: 5pm           Sunday: 8am
109,CHRISTIAN DELIVERANCE EVANGELCAL MINISTRIES,29/59 Yellow Duke Street Calabar,,,,,,,,Monday: 7 - 9pm       Tuesday: 9 - 2pm     Friday: 7 - 9pm      Sunday: 10 - 12pm
110,CHRISTIAN FELLOWSHIP EVANGELICAL INC.,26 New Airport Road Calabar,,,,,,,,Tuesday: 6pm              Thursday: 6pm               Sunday: 9am
111,CHRISTIAN METHODIST EPISCOPAL CHURCH,22 Ekpeyong Ekpe Street Calabar,,,,,,,,Tuesday: 5 - 7pm        Wednessday: 6 - 12pm   Friday: 7 - 10pm            Sunday: 10 - 12pm
112,CHRISTIAN PENTECOSTAL MISSION INT'L ,156 Old Odukpani Road Behind Muka Sam Hotel 4miles Calabar,08081231754 08037544904,,,,,,,Friday: 8am (HolyGhost Service) Sunday: 8am 
113,CHRISTIAN PENTECOSTAL MISSION INT'L (AKA RHEMA FOUNTAIN),"27 Edgerly Road, Calabar",8037057357,,,,,,,Sunday: 8:30AM (Holy Ghot Service)
114,CHRISTIAN PRAYER AUTHOR CHURCH,171 Palm Street Extention Calabar,,,,,,,,Wednessday: 5 - 6:30pm                 Thursday: 6 - 8pm         Sunday: 10 - 12:30pm
115,CHURCH DIPLOMATS ,3 Adam Duke Lane Calabar,,,,,,,,Wednessday: 5:30pm    Friday: 5:30pm             Sunday: 9 - 12pm             
116,CHURCH OF CHRIST,3A/10 Hawkins Road Calabar,,,,,,,,Sunday: 8am
117,CHURCH OF CHRIST,Plot 10 N-Line Federal Housing Estate Behind Bakor Calabar ,,,,,,,,Sunday: 9am
118,CHURCH OF CHRIST,20 Mount Zion Drive Ikot Eneobong Calabar,,,,,,,,Sunday: 9am
119,CHURCH OF CHRIST ,8 Abitu Avenue Calabar,,,,,,,,Tuesday: 6 - 7:30pm      Wednessday: 6 - 7:30pm                           Thursday: 6 - 8pm         Sunday: 9 - 12pm
120,CHURCH OF CHRIST ,5 Ediba Road Calabar,,,,,,,,Tuesday: 6 - 7pm       Sunday: 9 - 12pm
121,CHURCH OF CHRIST IN NATIONS ,"189 NAOWA Shopping Complex, Eburutu Barracks Calabar",08023439488  08132878581,,,,,,,Wednessday: 5- 6pm (Bible Study)           Friday: 5 - 6pm (Prayer Meeting)                         Sunday: 9 - 11:30am (Worship Service)                    
122,CHURCH OF CHRIST NIGERIA,"Ekpenyong Bassey Street, Nyahasang Calabar",,,,,,,,Tuesday: 6 - 7pm         Thursday: 6 - 7pm       Sunday: 9 - 12pm
123,CHURCH OF CHRIST NIGERIA,39/10 Hawkins Road Calabar,,,,,,coc3hawkinscal@yahoo.com,,Monday: 6 - 8pm       Tuesday: 6 - 8pm     Wednesdday: 6 - 8pm                     Saturday: 5 - 7pm Sunday: 9 - 12pm 
124,CHURCH OF CHRIST NIGERIA,43 Atimbo Street Calabar,,,,,,,,Tuesday: 6pm          Thursday: 6pm  Sunday:9 - 12pm
125,CHURCH OF GOD MISSION,20/40 Edibe Edibe Street Calabar,,,,,,,,Wednessday: 5:30pm     Friday: 5:30pm             Sunday: 8am
126,CHURCH OF GOD MISSION INT'L INC.,12 Spring Road Calabar,,,,,,,,Wednessday: 5pm           Friday: 5pm          Sunday: 9am
127,CHURCH OF GOD MISSION INT'L INC. (VICTORY ARENA),165 Old Odukpani Road Calabar,0813150029   08038608574,,,,,,,Friday: 5:30pm (Miracle Service)         Sunday: 8am
128,CHURCH OF GOD THE GOOD SHEPARD,60 Atimbo Street Calabar,8036693840,,,,,,,Wednessday: 8pm     Friday:6pm              Sunday: 9am
129,CHURCH OF NIGERIA ANGLICAN COMMUNION ,3 Edem Akimbri Avenue Nyakasang,,,,,,,,Tuesday: 5pm              Wednessday: 5pm               Sunday: 9:45am
130,CHURCH OF REIGNERS INTERNATIONAL,"Montana Villa Hotel Conference Hall,    77 MCC CalabarRoad",,,,,,churchreigner@yahoo.com,,Wednessday:5-7pm Saturday: 4-7pm(Evangelism)             Sunday: 8-10am
131,CHURCH UNIVERSAL TRIUMPHANT AND THE SUMMIT LIGHTHOUSE,32A Spring Road Essien Town Calabar,,,,,,cutcals/@gmail.com,,Tuesday: 4 - 6pm           Wednessday: 4- 6pm     Sunday: 8:30 - 12pm
132,CITY  OF DAVID NEW COVENANT CHURCH ,39 White House Street Calabar,,,,,,,,Sunday: 10am
133,COMMUNION LIFE BIBLE CHURCH,5 Afokang Street Calabar,,,,,,,,Wednessday: 6 - 8pm       Friday: 6 -9pm   Sunday: 8:30 - 11:30am
134,CORNERSTONE BIBLE MINISTRY WORLDWIDE (AKA BOAT OF SALVATION) ,Ikot Ansa By Ayito Street Calabar,,,,,,,,Sunday: 9 - 10am (Sunday School)          10 - 12pm (Worship)
135,DE ISREALITES FAMILY MINISTRY ,1 Effang Street Off Egerton Calabar,,,,,,,,Monday: 6pm (Bible Study)        Wednessday: 7pm (Mid week Service) Thursday: 7pm (Prayers)             Sunday: 8am
136,DE SOLUTION CENTRE MINISTRY (AKA SOLUTION ARENA),"21 Egerton Street, Henshaw Town",,,,,,,,Wednessday: 5-7pm (Bible Study/ Solution hour)                Saturday: 8-12pm (interdenominational Fellowship)         Sunday: 9-12pm
137,DEEPER LIFE BIBLE CHURCH,9 Itu Okon Lane Ikot Ansa Calabar,,,,,,,,Sunday: 7am (Efik)  10am (English)
138,DEEPER LIFE BIBLE CHURCH,Ikot Omin District Calabar,,,,,,,,Sunday: 7 - 9am (Efik)  10 - 12:30pm (English)
139,DEEPER LIFE BIBLE CHURCH,Essien Etim Offiong Close By Universal Secondary School Calabar,,,,,,,,Monday: 6 - 8:30pm                  Thursday: 5 - 8:30pm      Sunday: 7am (Efik)  10am (English)    
140,DEEPER LIFE BIBLE CHURCH,60/64 Nee Airport Road Calabar,,,,,,,,Monday: 6pm                  Thursday: 6pm             Sunday: 7am (Efik)  10am (English)
141,DEEPER LIFE BIBLE CHURCH,19 EdimOtop Street Calabar,,,,,,,,Monday: 6 - 8pm         Thursday: 5 - 7pm (Efik)  6 - 8pm (Engllish)        Sunday: 7 - 9:30am (Efik)  9:30 - 12pm (English) 
142,DEEPER LIFE BIBLE CHURCH,14 Musaha Street Calabar,,,,,,,,Monday: 6pm               Thursday: 6pm          Sunday: 7am (Efik)         10am (English)
143,DEEPER LIFE BIBLE CHURCH,10 Ekpo Nsa Street Off Orok-orok Calabar,,,,,,,,Monday: 6pm               Thursday: 5pm (Efik) 7pm (English)          Sunday: 7am (Efik)         10am (English)
144,DEEPER LIFE BIBLE CHURCH,10 Fenton Street Calabar,,,,,,,,Monday: 6pm            Thursday: 7pm                 Sunday: 10am
145,DEEPER LIFE BIBLE CHURCH,43 Afokang Street Calabar,,,,,,,,Monday: 6 - 8pm          Thursday: 5 - 7pm             Sunday: 10am
146,DEEPER LIFE BIBLE CHURCH (AIRPORT DISTRICT),6 Ekong Bassey Lane Calabar,,,,,,,,Monday: 6pm            Thursday:  5 - 8:30pm                    Sunday: 8am
147,DEEPER LIFE CAMPUS FELLOWSHIP,University of Calabar PMB 3694 Calabar,,,,,,,,Sunday: 7:30am at Sen. Bassey Ewa Henshaw Drive Etta Agbor Layout Calabar
148,DEEPERLIFE BIBLE CHURCH ,14 Musaha Street Calabar,,,,,,,,Tuesday & Thursday: 5pm                            Sunday: 8-11am
149,DEEPERLIFE BIBLE CHURCH ,Asim Ita District Ikot Ansa Calabar,,,,,,,,"Sunday: 7am (Efik), 10am (English)"
150,DEEPERLIFE BIBLE CHURCH (AKIM DISTRICT),Etta Agbor Layout Calabar,,,,,,,,Monday: Bible Study      Thursday: Revival & Evangelisim Service
151,DEEPERLIFE BIBLE CHURCH (IKOT EFFIONG NTA DISTRICT),7 Ikot Effiong Nta Street Calabar,,,,,,,,Monday: 5pm (Bible Study)                         Thursday: 5-7pm        Sunday: 7-10am
152,DELIGHTSOME MINISTRIES (VICTORY CHAPEL),85 Mayne Avenue Street Calabar,8034922355,,,,,,,Tuesday: 5pm              Thursday: 5pm               Sunday: 8am
153,DELIVERANCE TABERNACLE EVANGELISTIC INC.,2 Atamunu Lane Calabar,08034007223    08032926845,,,,,,www.israelabam.org,Wednessday: 5:30pm     Friday: 5:30pm             Sunday: 9am
154,DELIVERANCE TEMPLE GOSPEL CHURCH,151 Parliamentary Road Calabar,,,,,,,,Tuesday: 6pm             Thursday: 6pm              Sunday: 10am
155,DEMONSTRATION CHAPEL INT'L,90 White House Street Calabar,,,,,,,,Sunday: 8am
156,DESIRE OF ALL NATIONS CATHEDRAL,9C Effanga Offiong Street Calabar,7069494799,,,,,,,Wednessday: 5:30pm           Sunday: 9am
157,DESTINY EMBASSY,44 Atamunu Street Calabar,08069415088  08077442039,,,,,,,Wednessday: 9am      Thursday: 6pm          Sunday: 8am (Moulding Destinies)
158,DISTINGUISHED CHAPEL INT'L ,60 Big Qua Town Road Calabar,,,,,,,,Tuesday: 6 - 7pm          Thursday: 7pm                   Sunday: 9 - 12pm
159,DIVINE COVENNAT OF GOD CHUCRH ,86 Uwanse Street Calabar,,,,,,,,Wednessday: 7 - 1pm         Thursday: 7 - 9pm         Sunday: 10 - 12pm
160,DIVINE GLORY OF ZION FAMILY,13 Ansa Effiong Street Calabar,,,,,,,,Tuesday & Thursday: 5pm & 6am (Fasting & Prayer)                Sunday: 8am
161,DIVINE GOSPEL MISSION,14 Bassey Street Calabar,,,,,,,,Wednessday: 6pm    Friday: 6pm                  Sunday: 10am
162,DIVINE LIFE PRAYER MINISTRY,16 Graceland Cresent Satelite Town Calabar ,,,,,,,,Tuesday: 5 - 7pm           Sunday: 8 - 11:30pam
163,DIVINE LIGHT OF ZION DELIVERANCE MINISTRIES INT'L ,6 Asari Eso Layout Opp Timber Market Calabar,,,,,,,,Tuesday: 5:30 - 7:30pm  Wednessday: 6pm        Sunday: 10am
