AUTOMOBILE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/Date,Branch Offices,Product /Services,Email,Website,Business Days/ Hours
21,IZUTEX AUTO NIG.,"15 Bedwell Street, Calabar",07030351433 08053483144,Honda Spare Parts,,,Repair of Honda Cars,,,Mondays - Saturdays 8am - 6pm
22,JOE BEST ENTERPRISES COMPANY,"4 Bedwell Street, Calabar",08030905605 08072000893,Motor Spare Parts,,,"Complete Shocks, Shaft",,,Mondays - Saturdays 7am - 6pm
23,JOKOMO MOTORS,"15 Bedwell Street, Calabar",08037078087,Motor Parts,,,"Kia, Toyota, Honda Spare Parts",,,Mondays - Saturdays 8am - 6pm
24,KA OBI MOTORS,"22 Bedwell Street, Calabar",08035779585,Mercedes / Truck Parts,,,"Caterpillar Filters, Tractor Bearings, Mack Truck, Daf",,,Mondays - Saturdays 7am - 6pm
25,MARK/OBOT ENTERPRISE,"71 Egerton Street, Calabar",08060074525 08102938699,Car Dealers,,,"Electronics, Motorcycle, Keke",,,Mondays - Saturdays 8am - 5pm
26,MASSGROUP ENTERPRISE,"1 Harcourt Street, Calabar",08037122138,Tyres,,,Tyres,,,Mondays - Saturdays 8am - 6.30pm
27,MAZIMA LIMITED,"8 Edem Ekpenyong Street off Barracks Road, Calabar",08030956816 08129999618,Original Car Batteries & Tyres,,74 Trans-Amadi Industrial Layout 08191391235,,rameshpawar7002@gmail.com,ramesh@mazimaltd.com,
28,MEGA-TECH BATTERIES (NIG) LTD,"16 Bedwell Street, Calabar",08034841411 08102397923,LAR Batteries,,,Sales of Batteries,,,Mondays - Saturdays 8am - 6pm
29,MKPOUTO HOLDINGS,"22 Bedwell Street, Calabar",08030530284,Benz Spare Parts,,,"Engine, Bump Bearings",,,Mondays - Saturdays 7am - 6pm
30,NDUBEST ENTERPRISES,"22 Bedwell Street, Calabar",08055926725,Benz Car Parts,,,"Oil Filter, Brake Parts, Engine",,,Mondays - Saturdays 8am - 6pm
31,OGBECHE MOTORS LIMITED,"37 Marian Hill, Calabar",08033443329,Automobile,,,Sales & Hires of Cars,,,Mondays - Saturdays 8am - 6pm
32,OKONA MOTORS NIG. LTD,"123 Ndidem Usang Iso Road, Calabar.",08035102698 08052380798,Car Dealers,,"56 Goldie Street, Calabar","Toyota, Nissan, Volkswagen.",,,Mondays - Saturdays 8am - 6pm
33,OSSY ADNIRAL,"16 Bedwell Street, Calabar",08058480001,Mercedez Spare Parts,,,Car Repairs,,,Mondays - Saturdays 8am - 6pm
34,OWO-BRAZIL HOLDINGS,"15 Bedwell Street, Calabar",08039301343,Mercedez Spare Parts,,,Mercedez Repairs,,,Mondays - Saturdays 8am - 6.30pm
35,PAX AUTO SALES,"1st Gate, Army Estate Road (8Mile), Calabar",08092337833 08036430013,"Dealers/Suppliers on all Types of Cars, Jeeps, Buses, Vans, Pick-up, Mini Truck",,,"Dealers/Suppliers on all Types of Cars, Jeeps, Buses, Vans, Pick-up, Mini Truck",,,
36,SMUEL CHUKS VENTURES,"24 Bedwell Street, Calabar",08030946588 08160574485,Spare Parts,,,"Supplies of Motor Batteries, Cars",,,Mondays - Saturdays 8am - 6pm
37,S SECO (NIG) VENTURES,"15 Bedwell Street, Calabar",08036937302,Japanese Spare Parts,,,Car Repairs,,,Mondays - Saturdays 8am - 7pm
38,STONE BATTERY HOUSE,"6 White House Street, Calabar",08144107078 09091899269,High Quality Car Batteries,,,Car Batteries,,,Mondays - Saturdays 8am - 5pm
39,TONY MOTOR SPARE PARTS STORE,"7 Bedwell Street, Calabar",08034105385,Japanese Spare Parts,,,Japanese Car Spare Parts,,,Mondays - Saturdays 8am - 6pm
40,TRAX INTEGRATED SERVICES LTD,"13 IBB Way, Calabar",08033488532 08055349429,Automobile Workshop,,,"Workshop, Garage, Scan, Spareparts, Quality Control",k_kconstructionltd@yahoo.co.uk,trax.ng@gmail.com,
41,UCHE ELVIS,"16 Bedwell Street, Calabar",08066636795 0909993756,Spare Parts,,,Electrical Parts,,,Mondays - Saturdays 7.30am - 6.30pm
42,YUYU CHOICE AUTOMOBILE,"1a Mekenge Layout, Calabar",08033455675 08182496515,Car Sales & Hire,,,"Used Cars, Hire & Brand New Cars",,,Mondays - Saturdays 8am - 6pm
