GOVERNMENT ICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/Date,Branch Offices,Product/Services,Email,Website,Business Days/Hours
44,MINISTRY OF HEALTH ,"Micheal Ani Secretariat Complex Hope Wadell Avenue, Calabar",,,,,,,,
45,MINISTRY OF INFORMATION AND ORIENTATION ,"Opposite Cultural Centre Complex, Calabar",,,,,,,,
46,MINISTRY OF JUSTICE ," New Secretariat Complex, Calabar",,,,,,,,
47,MINISTRY OF LANDS AND HOUSING ,"New Secretariat Complex, Calabar",,,,,,,,
48,MINISTRY OF LOCAL GOVERNMENT AFFAIRS ,"New Secretariat Complex, Calabar",,,,,,,,
49,MINISTRY OF SOCIAL WELFARE ,"Hope Wadell Avenue, Calabar",,,,,,,,
50,MINISTRY OF WOMEN AFFAIRS ,"Hope Wadell Avenue, Calabar",,,,,,,,
51,MINISTRY OF WORKS," Ekorinim, Calabar",,,,,,,,
52,MINISTRY OF YOUTH DEVELOPMENT AND SPORTS ,"Micheal Ani Secretariat Complex Hope Wadell Avenue, Calabar",,,,,,,,
53,MOTOR CYCLE REGULATORY AGENCY ,Ministry of Transport,,,,,,,,
54,MUSLIMS PILGRIM WELFARE BOARD," Department of Religious Matters, Assembly Village off Spring Road, Calabar",,,,,,,,
55,OBUDU URBAN DEVELOPMENT AUTHORITY ,Obudu,,,,,,,,
56,OFFICE OF THE CHIEF OF STAFF ,"Governor’s Office Hope Waddell Avenue, Calabar",,,,,,,,
57,OFFICE OF THE ECONOMIC ADVISER ,"Micheal Ani Secretariat Complex Hope Wadell Avenue, Calabar",,,,,,,,
58,OFFICE OF THE HEAD OF SERVICE ," New Secretariat Complex, Calabar",,,,,,,,
59,OFFICE OF THE LEGAL ADVISER ,"Governor’s Office Hope Waddell Avenue, Calabar",,,,,,,,
60,OFFICE OF THE SECRETARY TO THE STATE GOVERNMENT ,"Governor’s Office Hope Waddell Avenue, Calabar",,,,,,,,
61,OGOJA URBAN DEVELOPMENT AUTHORITY,Ogoja,,,,,,,,
62,POLITICAL/LEGISLATIVE AFFAIRS DEPARTMENT,"Care of Ministry of Finance, Hope Wadell Avenue, Calabar",,,,,,,,
63,PROJECTS/PROGRAMMES MONITORING AND EVALUATION ,"Micheal Ani Secretariat Complex Hope Wadell Avenue, Calabar",,,,,,,,
64,PUBLIC TRANSPORTATION DEPARTMENT,"Micheal Ani Secretariat Complex Hope Wadell Avenue, Calabar",,,,,,,,
65,ROLL BACK MALARIA DEPARTMENT ,"20 Barracks Road, Calabar",,,,,,,,
66,RURAL DEVELOPMENT AGENCY (RUDA),"147 Ndidem Usang Iso Road, Calabar",,,,,,,,
67,RURAL WATER AND SANITATION AGENCY (RUWATSA) ,"147 Ndidem Usang Iso Road, Calabar",,,,,,,,
68,"SCHOOL OF MIDWIFERY, CALABAR",,,,,,,,,
69,"SCHOOL OF MIDWIFERY, OBUDU ",Obudu,,,,,,,,
70,"SCHOOL OF NURSING, CALABAR ","Mary Slessor Avenue, Calabar",,,,,,,,
71,"SCHOOL OF NURSING, ITIGIDI ",Itigidi,PMB 1005,,,,,,,
72,SCIENCE AND TECHNICAL EDUCATION BOARD ,"Micheal Ani Secretariat Complex Hope Wadell Avenue, Calabar",,,,,,,,
73,SMALL AND MEDIUM SCALE ENTERPRISES CREDIT SCHEME ,"Prof. Eyo Ita House, Marian Road, Calabar",,,,,,,,
74,SPECIAL DUTIES DEPARTMENT,"New Secretariat Complex, Calabar",,,,,,,,
75,SPECIAL PROJECTS DEPARTMENT ,"Governor’s Office Hope Waddell Avenue, Calabar",,,,,,,,
76,SPECIAL SERVICES OFFICE ,"Governor’s Office Hope Waddell Avenue, Calabar",,,,,,,,
77,STATE AGENCY FOR THE CONTROL OF AIDS ,"4a Barracks Road off Eyoetta Lane, Calabar",,,,,,,,
78,STATE BORDER COMMUNITIES DEVELOPMENT COMMISSION,"Hope Wadell Avenue, Calabar",,,,,,,,
79,STATE ELECTRIFICATION AGENCY (SEA) ,"Ministry of Works Ekorinim, Calabar",,,,,,,,
80,STATE EMERGENCY MANAGEMENT AGENCY (SEMA) ,17/19 Barracks Road Calabar,,,,,,,,
81,STATE LIBRARY BOARD,State Library,,,,,,,,
82,STATE PLANNING COMMISSION ,"New Secretariat Complex, Calabar",,,,,,,,
83,STATE SECONDARY EDUCATION BOARD ,"Micheal Ani Secretariat Complex Hope Wadell Avenue, Calabar",,,,,,,,
84,STATE UNIVERSAL EDUCATION BOARD (SUBEB)," Murtala Mohammed Highway, Calabar",,,,,,,,
85,TINAPA BUSINESS AND LEISURE RESORT ,"TINAPA Adiabo, Calabar",,,,,,,,
86,TOURISM BUREAU," 1st Floor Okoi Arikpo House, Calabar Road, Calabar",,,,,,,,
87,UGEP URBAN DEVELOPMENT AUTHORITY ,Ugep,,,,,,,,
