HEALTH SERVICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
25,EMMANUEL PHARMACEUTICAL SHOP,"117 Old Odukpani Road, Calabar",08033910531,"Dispensing of Drugs, Treatment",,,,,,Mondays - Saturdays 8am - 9.30pm.     Sundays 5pm - 10pm  
26,ERGONOMIC & FITNESS SOLUTIONS,"20 Mekenge Layout, Calabar",07032290391,Fitness & Massage,,,"Physical/Complementary Theraphy, Massage, Pain Management, ",ergonomicfitnesssolution@hotmail.com,,Mondays - Saturdays  8am - 6pm  
27,GLOBAL NETWORK SYSTEM,"8b Mayne Avenue, Calabar",07068613755 08037050150,Indian Drugs & Counselling,,,"Immuno K, KG, P, G & M",,,Mondays - Saturdays  8am - 6pm  
28,CONGUEST MEDICAL IMAGINARY LTD,"3 Esighi Street off Bateba, Calabar.","08064258388, 07034066198",C.T. Scan,,,Scaning,,,Mondays - Saturdays  8am - 6pm  
29,GOOD DEEDS MEDICAL LABOURATORY,121 Goldie street calabar,08035536591,Medical Services,,,Laboratory Test,,,Mondays - Saturdays  8am - 6.30pm  
30,GOSAM SCIENTIFIC SUPPLIES (NIG) CO.,"65 Calabar Road Opp. Park, Ikom",08025565465,Scientific & Laboratory Equipment,,,"Laboratory Chemicals, Reagent, Hospital Supplies & Installation",,,Mondays - Saturdays  8am - 6pm  
31,GRANDVILLE PHARMACY LTD,"75 Ndidem Usang Iso Road, Calabar.",08066178852 08059304128,Pharmacy Retail & Wholesales,,"1 Otunba Street, Ojodu Lagos",Pharmacy Retail & Wholesales,,,Mondays - Saturdays  8am - 10pm  
32,HERITAGE SPECIALIST CLINIC,"64 Ekpo Abasi Street, Calabar",08037027374,Medical Services,,,Medical Services,,,Mondays - Saturdays  8am - 6pm  
33,IMECOBAS PHARMACY,"50 Bedwell Street, Calabar, ",08037964060 07067820075,Phamarceutical Products,,,Phamarceutical Products,,,Mondays - Saturdays  8am - 8pm  
34,JOE-MANUEL PHARMACY LTD,"78/101 Ekpo Abasi Street, Calabar",08056326702,Phamarceutical Products,,,Phamarceutical Products,,,Mondays - Saturdays  8am - 8pm        Sundays  4pm - 9pm   
35,JOHN GODWIN,"199 Odukpani Road, Calabar",08056373323 07061517927,Health Treatment,,,,clemcy4life@yahoo.com,,Mondays - Sundays  8am - 10pm  
36,KESUCH PHARMACY,"White House Street, Calabar","08068551211, 08028434667",Pharmacy,,,Phamarceutical Products,,,Mondays - Saturdays  8am - 9.30pm  
37,KINGZY PHARMACEUTICAL LTD,"50 Bedwell Calabar, ","08111167753, 08162912550",Phamarceutical Products & Service,,,"Neomulti,Kinvox,Zadol,Kinzadole, Oflodazole",miogbaegbe@yahoo.com,,Mondays - Saturdays  8am - 9pm  
38,LONG HEALTH PHARMACY,"35 Ekpo Archibong, Parliamentary, Calabar.",08183569232 08038649697,Drugs & Drugs Information,,,"Drugs, Drug Information & Counselling",longhealth@yahoo.com,,Mondays - Saturdays 7.30am - 10pm.     Sundays 4pm - 10pm  
39,MACBEN PHARMACY,"38 Mount Zion Road, Calabar",08033281321,Pharmaceuticals,,,Drugs,,,Mondays - Saturdays  8am - 8pm  
40,MULTI CARE LABORATORIES,"Afokang by Jebbs, Calabar",08033845878,Medical Laboratory & Diagnostic Centre,,,"Medical Laboratory, Diagnostics & Research",,,Mondays - Saturdays  8am - 5pm  
41,MUTATIS PHARMACY,"8 Old Etom Road, Ikom",07064171238,Special Treatment,,,Diagnostic Equipment,,,Mondays - Saturdays 8am - 7pm.       Sundays 2pm - 7pm  
42,NABOS PHARMACY,63 Uwanse Street calabar,"08032681702, 08053331763",Pharmacy,,,Phamarceutical Products,,,Mondays - Saturdays  8am - 9.30pm  
43,NITED HEALTH CARE INTERNATIONAL,5 Mayne Street Calabar,07043936218,Health Consultant,,,Health Insurance,,,Mondays - Saturdays  8am - 6.30pm  
44,OBASON PHARMACY,"272 Old Odukpani Road, Calabar",08035641234 07066233326,Sale of Pharmaceutical Products,,,,,,Mondays - Saturdays 8am - 10pm.     Sundays 4pm - 10pm  
45,OLOITUTU TOTAL CURE HERBAL HOME,"22 PROWA Shoping Complex, Calabar",08028947762,Herbal Product,,,VICOLOM Herbal mixture,,,Mondays - Saturdays  8am - 6.30pm  
46,PAMEKS PHARMACY,"155 Odukpani Road, Calabar",,Pharmacy,,,,,,Mondays - Saturdays  8am - 9pm  
47,PAX HERBAL DEPOT,"4 SPC Road near Fed. Housing Police Station, Calabar",08033420964,Herbal Medicine,,,Pax Herbal Drugs,,,Mondays - Saturdays  8am - 5pm  
48,PEACE MEDICAL CENTRE,"17 Efut Street off Egerton, Calabar",08030669406 08056625046,Health Treatment,,,Treatment & Operation,,,Mondays - Sundays  8am - 6pm  
49,REMCARE PHARMACY,"14 Ekong Etta Road, Calabar",08183560000 08054444947,Pharmacy,,,"Prescriptions/Counselling, Free-In-Store Health Screening, Herbal Drugs, Weight Management",,www.remcarepharmacy.com,24 Hrs
50,ROBIN DIAGNOSTIC CENTRE,"202 Murtala Mohammed Highway, Calabar",09029104509,Medical Laboratory,,,,,,Mondays - Saturdays  7am - 7pm  
51,ROOT TRADOMEDICAL CLINIC,7 Ayang street by inyang street calabar,08034054705,Natural Herbal,,,Natural Therapeutic Consultant,,,Mondays - Saturdays  8am - 6.30pm  
52,ROYALIFE PHARMACEUTICAL SHOP,"57 Mbukpa Road, Calabar",08035435256 08170446510,"Drugs, B.P Check",,,"Drugs, B.P Check",,,Mondays - Saturdays  8am - 9pm        Sundays  2am - 9pm 
53,STRATEGIC HEALTH PLANNER LIMITED,"BK International House SPC Junction, M/M Highway, Calabar",08050233249,Medical Health,,,Medical Services,,,Mondays - Sundays  6am - 8pm  
54,UNIVERSAL BASIC DIAGNOSTIC CENTER,"62 Afokang Street, Calabar",08063406323,"Ultrasound Scan, Laboratory Test",,,"Ultrasound Scan, Laboratory Test",,,Mondays - Saturdays  8am - 8pm  
55,VICTORIA DIAGNOSTIC CENTRE,"14 Nsefik Eyo Layout, Calabar",08079075552 07086663600,"Ultrasound, X-ray",,,X-ray,,,Mondays - Saturdays  8am - 7pm  
56,VICTORIOUS MARIA MEDICAL DIAGNOSTIC,179 Goldie street Calabar,"08064356969, 07067027535",Medical Services,,,Laboratory Test,,,Mondays - Saturdays  8am - 6.30pm  
57,WETLANDS HEALTH SERVICES LIMITED,"3 Esighi Street off Bateba, Calabar.",07059002284,Medical Health,,,Medical Services,,,Mondays - Sundays  6am - 6pm  
58,YIKAM SCIENTIFIC SUPPLIES,"Shop 28 U.J Esuene stadium, Calabar",07037671920,Hospital Equipment,,,Hospital Equipments & Reagents,,,Mondays - Saturdays  8am - 6.30pm  
