HOTELS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/  Hours
70,GOMAYS PLAZA,"90 Atekong Drive, Calabar",07063080936,Hotel,,,,gomays2441@yahoo.com,,
71,GRACIOUS HOMES,"6 Essien Abasi Close Off Spring Road, Calabar",07032561099,Hotel,,,,gracioushomes@nokiamail.com,,Mondays - Sundays   24 Hrs
72,GREEN VALLEY HOTELS,"Dr Romanus Eriom Close off Archibong Archibong Avenue, Calabar",08095901985,Hospitality,,"1kot Abasi Obori Drive, Calabar",,,www.greenvalleyhotels@gmail.com,
73,GROMLEE HOTEL,"15/16 Serom Wood Rd Ekorinim 2, Calabar",08033632350,Hotel,,,,groomleehotelcalabar@yahoo.com,,
74,H202/AHKIRA LODGE,"Plot 291T Mary Slessor Street, Calabar",08037208413 08161294257,"Food, Drinks, Hospitality & Entertainment",,,"Food, Drinks, Hospitality & Entertainment",ahkiralodge@gmail.com,Gromlee.hotel@nokiamail.com,Mondays - Sundays   24 Hrs
75,HARMONY,"88 Edibe-Edibe Road, Calabar",08032854623 08037103279,Hotel,,,,,,
76,HERITAGE HOTELS,"101 Calabar Road, Four Corners, Ikom",07066929100 08037307353,Luxury Accomodation & Bar,,,"CyberCafe, Conference Hall, Barbecue, Restaurant",heritagehotelikom.com,,Mondays - Sundays   24 Hrs
77,HILTOP LODGES,"7a Otop Abasi off Barracks Road by Bogobiri, Calabar",07060721258,Lodge,,Calabar Ikom Highway Ugep 08050233569,,,,
78,HOIL SUITES,"157b MCC Road, Calabar",07031870086,Hotel,,,,info@hoilsuites-cal.com,,Mondays - Saturdays   24 Hrs
79,HOTEL 45,"45th Street off  Bishop Moynagh Avenue, State Housing Calabar ",8060726836,Hotel,,,,,,
80,HOTEL ICON,"Plot 143b/159 Asari Eso Layout, Calabar",08064841141,Hotel,,,,reservation@hoteliconltd.com,,
81,IBEKEM HOTEL,"17 Ene Ita Street, Calabar",08086358264,Hotel,,,,ibekemhotel@yahoo.com,,
82,ICELAND GUEST HOUSE,"8 Umo Okon Street, Calabar",07062347743,Guest House,,0817369244,,,,
83,INACHO'S PLACE,"23 Bassey Duke Street, Calabar",08033511061,"Accomodation, Bar & Restaurant",,,,,,
84,ITA ASI GUEST HOUSE,"5 New Airport Road, Calabar",08146119396,Guest House,,,,,,
85,IXORA SUITES,"200 Palm Street Extension, Calabar",08133725972,Hotel,,,,ixorasuites@yahoo.com,,
86,JACARANDA SUITE,"Plot C2/C6 Etubom G.D Henshaw Close Atimbo, Calabar",07034973482,Suite,,,,jacaranda.suites@nokiamail.com,,
87,JAHAS GUEST HOUSE,"110 Ndidem Usang Iso Road, Calabar",07036756746 09091963605,Hotel,,,,Jahas.ghouse@nokiamail.com,,
88,JANDGED HOTELS & RESORT,"14 Agric Road, Four Corner, Ikom",07033639356,Luxury Accomodation & Resort,,,"Accomodation, Resort, Bar, Restaurant",,,
89,JECK RESERVE GUEST HOUSE,"2B Okuku Road, Ogoja",07035577728,Accomodation & Bar,,,"Accomodation, Bar, Restaurant",,,Mondays - Saturdays   24 Hrs
90,JEVIC HOTELS,"121 Ndidem Usang Iso Road, Calabar.",08061316242,Lodging,,,Luxury Accomodation & Restaurant,jmessien@yahoo.co.uk,,
91,JIVITA HOTEL,"239 Old Odukpani Rd, Ikot Ansa, Cal",07034491724,Hotel,,,,jivta@nokiamail.com,,Mondays - Saturdays   24 Hrs
92,JODAK HOTEL,"13 IBB Way, Calabar",08037184153,Hotel,,,,,,Mondays - Sundays   24 Hrs
93,JORANNY HOTELS,"Plot 153 Asari Eso Layout, Calabar",08051111744,Hotel,,,,sales@jorannyhotel.com,,
94,JOVONNE SUITES & H0TEL,"Federal School Road Abakpa, Ogoja",07067148566 08086289288,"Luxury Accomodation, Bar & Restaurant",,,"Accomodation, Bar, Restaurant",jovonnesuites@yahoo.com,gm@joranyhotel.com,
95,KAKSON GUEST HOUSE,"6 Esuk Utan Road, NNPC Depot, Calabar",08035142559,Guest House,,,,kakson9@gmail.com,,
96,KALVEGAS HOTELS/SUITES,"Plot 143b Asari Eso Layout, Calabar",08037066732,Suites,,,,kalvegashotel@yhoo.com,kakson.ghouse@nokiamail.com,Mondays - Sundays   24 Hrs
97,KANDIZ HOTEL,"14 Asuquo Nyong Street, off Uwanse, Calabar",08038861130,Hotel,,,,,Kal.vegas@yahoo.com,
98,KATE HOME GUEST HOUSE,"9 IkoT Eyo Street Off Parliamentary Road, Calabar",07062481038,Guest House,,,,kate.home@ymail.com,,
99,KING HARRY'S GUEST HOUSE,"7 Atimbo Road, Calabar",08162987647 08095916240,Guest House,,,,kingharry.ghouse@yahoo.com,,
100,KRIS-MAC GUEST HOUSE,"6b, Obame Ikoya Street, Behind Cal. Municipal Council, Calabar",08039492934,,,,,krismacguesthouse@yahoo.com,,
101,LAKESIDE RESORT,"1st Avenue Housing Estate, Ogoja",0803384469,"Accomodation, Internet Services, Restaurant",,,"Accomodation, Bar, Restaurant, Internet",,,
102,LA KRISTO HOTEL & CONFERENCE,"7 Abakpa Road, Ndok Junction, Ogoja",08176390200,"Restaurant, Sit-out & Bar",,,"Restaurant, Sit-out Bar, Conference Centre",,www.lakristosuites.com,
103,L'AMOUR SUITE,"8b Ediba Lane off Old Ikang, Calabar",08033910003,Suites,,,,ntagbo@yahoo.com,,Mondays - Sundays   24 Hrs
104,LAS MOTTO HOTEL,"65 Anansa Road off Murtala Mohammed Highway, Calabar",09097132076,"Restaurant, Bar, Luxury Accomodation",,"65 Old Odukdpani Road, Calabar",,lasmotto@ymail.com,ntaokpo@yahoo.com  ,Mondays - Sundays   24 Hrs
105,LE CHATEAU,"30 MCC Road, Calabar",08028788541,Hotel,,"Plot 15, Blk 6 Federal Housing Estate, Calabar",,ths_lechateau@yahoo.com thelma_belo@yahoo.com,lavuzelsuites@rocketmail.com,Mondays - Sundays   24 Hrs
106,LEPEA SUITES,"50 Okuku Road, Ogoja",08168274608 09029125608,"Restaurant, Bar, Luxury Accomodation",,,"Restaurant, Bar, Laundry Services, Accomodation",,,
107,LILLYS HOME,"65 Victory Way, Calabar",07034016204,Hotel,,"6 Ekpo Okon Street, Calabar",,lilyshotel@yahoo.com lilyshotel@ymail.com,,
108,LISBON HOTELS,"70 Calabar Road, Ikom",08137794409,Luxury Accomodation,,,Luxury Accomodation,,,
109,LITTLE ROCK COTTAGE,"First Gate, Phase 1 Nkebre by Oddywell Filing Station, 8 Miles, Calabar",07033067394 ,"Restaurant, Bar, Accomodation",,,,littlerock@yahoo.com,,
110,LIVINGSTONE LODGE,"167 Old Odukpani Road, Calabar",08094771476,Lodge,,,,lodge.livingstone@yahoo.com,little_rock@rocketmail.com,Mondays - Sundays   24 Hrs
111,LIZ ANI HOTELS,"12a Atimbo Road, Calabar",08035439433 08064358143,Hotel,,"3 Atekong Lane off Douglas Avenue, Calabar ",,aniehimself@yahoo.com,,Mondays - Sundays   24 Hrs
112,LOVELYN GUEST HOUSE,"Road 3, Block 5 Federal Housing Estate, Ndok Junction, Ogoja",08095573790 08053660208,,,,"Restaurant, Bar, Luxury Accomodation",,,
113,LUSH SUITES,"1, Housing Estate Off Ndidem Usang Iso Road, Calabar",07030001211,Hotel,,,,gmlushsuites@gmail.com,,
114,MAGGIE HOTEL,"6 Atimbo Street, Calabar",08023147003,Hotel,,,,,reservation@lushsuites.com,Mondays - Sundays   24 Hrs
115,MANGEL HOTEL & SUITES,"Rd 7, Fed Housing Estate Opp. Nta, Calabar",08035087080,Hotel,,,,customercare@mangelhotelandsuites.com,,
116,MAR PETO HOTEL,"11 Asuquo Nyong Street off Uwanse, Calabar",08039112479,Hotel,,,,edohmcheall6@yahoo.com,,
117,MARIAN HOTEL,"125 Old Ikang off Marian Road, Calabar",07034452736,Hotel,,,,,,
118,MARYLAND GUEST HOUSE,"5 Barracks Road, Igoli-Ogoja",07055519669,Luxury Accomodation & Bar,,,Luxury Accomodation & Bar,,,
119,MEGA HILTON,"13 Duke Town Close, Calabar",07035302779,Hotel,,,,megahiltoncalabar@yahoo.com,,
120,MELISA LODGES,"29 Spring Road Off Ekorinim  Rd, Calabar",,Lodge,,,,melisalodge@nokiamail.com,,
121,MEJU HOTELS,"152  Murtala Mohammed Highway, Ikot Effanga, Calabar",07030810463,Hotel,,,,Mejuhotels@nokiamail.com,,
122,MICADO HOTEL,"136b IBB Way, Calabar",07068913072,Hotel,,,,edomichael16@yahoo.com,,
123,MICHEELE HOTEL,"Plot 117 Asari Eso Layout, Calabar",08060805236,Hotel,,,,michellesuites@yahoo.com,,
124,MIRAGE PARKWAY,"4 Obame Okoya Street, Calabar",08028451029 07037061596,Guest House,,,,,,
125,MONOZONE GUEST HOUSE,"GRA,Idiagbon Street, Federal Housing Estate, Calabar",08066149769,Guest House,,,,,,
126,MONTANA VILLA,"77 MCC Road, Calabar",07034828259,Hotel,,,,villamontana@gmail.com,,
127,MONTY SUITES,"Northern Ind. Layout, Behind Zone 6, Police Headquarters",08060128851,Suites,,,,montysuitescalabar22@yahoo.com,villamontana@yahoo.com,
128,MUKA SAM HOTEL,"156 Old Odukpani Road, Calabar",07063741749,Hotel,,,,mmukasaml@yahoo.com,,
129,MYYHOTELS AND SUITES,"8 Canaan Avenue off Access School Road Nyanghasang, Calabar",08090971118 08147207072,Hotel,,,,info@myyhotelandsuites.com,,
130,NAKS HOTEL,"106 Ndidem Usang Iso, Calabar",08039243902,Hotel,,,,nakshotelandtowerlimted@yahoo.com,www.myyhotelandsuites.com,
131,NELBEE HOTELS,"5 Dan Archibong Street, Calabar",08036716154 09094676863,"Hospitality, Bar & Restaurant",,,,nelglobal@yahoo.com,nakshotelandtowerltd@yahoo.com,
132,NESS IV BROTHERS HOTEL LTD,"10 Mayne Avenue Extension, Calabar",08180880612,Hotel,,,,efremfon77@yahoo.com,,
133,NESVILLE SUITES ,"1 Anita Close off Essien Town, Calabar",08079063740,Suites,,,,,,Mondays - Sundays   24 Hrs
134,NEW PALADIUM  HOTEL,"106 Marian Road / Mary Slessor, Calabar",08065562678,Hotel,,,,,,
135,NKE HOTEL,"5 Edem EdU Close off Jebs Road, Anantigha, Calabar",08034679295,Hotel,,,,,,
136,NKEBRE GUEST HOUSE,"15 Ikot Nkebre, Calabar",08030952623,Guest House,,,,Nkebre@nokiamail.com,,
137,NOBLE SUITES,"3 Ndok Junction Road, Abakpa-Ogoja",08063879892 08051426221,Lodging & Accomodation,,,"Accomodation, Bar & Restaurant",,,
138,NTUNKAI GUEST HOUSE,"7 Diamond Hill, Calabar",08033446399,Guest House,,,,awekings@yahoo.com,,
139,OASIS GUEST HOUSE,"139 Calabar Road, Calabar",08033485965 07069788936 08074076825,"Accomodation, Bar & Restaurant",,,,,adajiphilipgodwin@yahoo.com,
140,OBASI HOTELS & RESORT LIMITED,"Akamkpa Town, Akamkpa",08094965756,Hotel & Resorts,,,"Classic Bar, Restaurant, Internet Facility, Multipurpose Hall",obassihotelsandresort@gmail.com,,
141,OCEANIC RIPPLES,"Plot 100 Asari Eso Layout, Calabar",08034439759,Hotel,,,,safecalabar@yahoo.com,,
142,O-JAYS SUITES & HOTELS,"Plot 212 Abakpa Ndok Junction, Ogoja",08089000326 07061863116,Exquisite Lodging & Restaurant,,,"Accomodation, Restaurant & Bar",,,
143,OMENE GUEST HOUSE,"2 Stadium Road, Ogoja",,Luxury Accomodation & Bar,,,Lodging & Restaurant,,,
144,OPERA GUEST HOUSE,"30B Off Ibadan Street, Igoli-Ogoja",08025639994,Accomodation & Bar,,,Luxury Accomodation & Bar,,,24hrs
145,ORANGE RESORT,"151, MCC Road, Akai Efa, Calabar",08061360956,Resort,,,,orangeresort@yahoo.com,,24hrs
146,ORIGIN GUEST HOUSE,"Opposite Housing Estate Ndok Junction, Ogoja",08096068409,Lodging Accomodation,,,Accomodation & Bar,,,24hrs
147,OYOM GUEST HOUSE,"4 Edem Effiom, Off Old Odukpani Road, Calabar",08064498676,Guest House,,,,,,
148,PADDINTING SUITE,"7 Duke Town Close, 3rd Avenue State Housing, Calabar",08032546000,Suites,,,,Paddington_suite@nokiamail.com,,Mondays - Sundays   24 Hrs
149,PEACE GARDEN HOTEL,"Off Ikot Ansa Bus Stop M/M Highway, Calabar",,Hotel,,,,Peace_garden@nokiamail.com,,
150,PEARL SUITE,"2/3 MCC Road, Calabar.",08067667989,Hotel,,,,pearlsuitehotels@yahoo.com,,
151,PENUEL LUXURY FLATS,"53 Asari Eso Layout, Calabar",08037028623 08184920706 08037236535,Hotel,,Plt  53 Asari Eso Layout,,Penuelluxury@nokiamail.com,,
152,PETESVILLE HOTEL,"Plot 236, 2nd Avenue State Housing Estate, Calabar",07030467887,Hotel,,,,petevillehotels@yahoo.com,,
153,PIKMASTERS HOTEL," Asari Eso Layout, Calabar",,Hotel,,"Gloria Gershom Bassey Street Off Asari Eso Layout, 2 Asari Eso Lane",,Pikkmaster@nokiamail.com,,
154,PIONEER GUEST HOUSE,"106 Old Odukpani Road, Calabar",08077861116,Guest House,,"1 Nsemo Street, Calabar",,pioneer_ghouse@ymail.com,,
155,PLANET GUEST HOUSE,"13 Clement Ebri Drive, State Housing Estate, Calabar",07037215983,Guest House,,,,planetgrathouse@yahoo.com,,
156,POUNIX FARMS LODGES,"2b Ikot Uduak Street off Parliamentary, Calabar",07033991950,Lodge,,"11a Water Intake Road, Lemna Highway, Calabar",,pioneer_ghouse@ymail.com,,
157,PRECLINJO HOTEL,"Ekorinim Phase 11, Calabar",08034359336,Hotel,,,,preclinjo@yahoo.com,sailors005@yahoo.com,
158,PRINCEVILLE HOTELS,"20-24, Princeville Boulevard, Off Parliamentary Extension, Calabar",08071177777 08125555000 08069506526,Hotel,07032254679,,,princevillehotel@yahoo.com,,
159,PYRAMID HOTEL,"Plot 117 Murtala Mohammed Highway, Calabar",08037088299,Hotel, ,,,pyramidhotels@yahoo.com,www.pyramidhotelsandconferencecentre.com,
160,QUEEN & KINGS GUEST HOUSE,"4 Nkebre Layout, 8 Miles, Calabar",08079152470,Guest House,,,,queenandkings@rocketmail.com,,
161,QUEEN OF SHEBA,"105 Essien Town, Old Odukpani Road, Calabar",08067929219,Guest House,,,,q.sheba@yahoo.com,,
162,QUORUM LOUNGE,"88 Atekong Street, Calabar",,Hotel,,,,akangeorge20@yahoo.com,,
163,REAL HOME HOTEL,"3 Ekong Eta Street, Calabar",08029193451,Hotels,CAC: CA/00/001297,,,,,
164,REALPOINT HOTELS,"7 Chief Obot Street, off Atekong Drive, Calabar",08038412449,Hotel,,,,realpointhotels@yahoo.com,,Mondays - Sundays   24 Hrs
165,RENDEZVOUS GUEST HOUSE,"29 Off Ibadan Road, Igoli-Ogoja",08037361828,Accomodation & Bar,,,Accomodation & Bar,,realpoint.hotel@yahoo.com,
166,REXONA HOTEL,"27 Mekenge Layout, Calabar",08023737104 08060567226 ,Hotel,,,,rexonahotel27@yahoo.com,,
167,RO-DA BED & BREAKFAST,"219 Murtala Mohammed Highway, Calabar",0703063429508055167793 08037239880,Guest House,,,"Restaurant, Bar, Accomodation",ro_da@rocketmail.com,,Mondays - Sundays   24 Hrs
168,ROYAL BIT HOTEL,"4 Barracks Road By Bogobiri Junction, Calabar.",08039182591,Hotel,,,,royalbithotel@yahoo.com,,Mondays - Sundays   24 Hrs
169,SANKARA HOTEL,"1 School Road, Satellite Town",08032555568,Hotel,,,,sankarahotellimmaculata@gmail.com,,
170,SATELITE TOWN HOTEL,"1 Chief Emmanuel Igwe Avenue, Calabar",08173013631 08093614231,Hotel,,,satelitetownhotel@yahoo.com,www.satelitetownhotel.com,,
171,SAUDO'S GUEST HOUSE,"7a Odwayer Street, Calabar",08037189342,Guest House,,,,,,
172,SHANEM GUEST HOUSE,"35 Nkonib Layout behind Winners Lane, Calabar",087834613 08037864331,Guest House,,,,shanemguesthouse@yahoo.com,,
173,SOBAZ GUEST HOUSE,"37 Border Road, Ikom",08097667096,"Lodging, Accomodation, Bar & Restaurant",,,"Lodging, Accomodation, Bar & Restaurant",,,
174,SPLENDOUR HOTEL,"51 Ekorinim, Calabar",07067039336,Hotel,,,,,,
174,SPOTCITY HOTELS,"321 Old Odukpani Road, Ikot Ansa, Calabar",08063405581,,,,,,,Mondays - Sundays   24 Hrs
176,SPRING SUITES,"521 old Odukpani Street, Akai, Calabar",08179247344,Suites,,,,,,
177,STEADY FLOW MISSION,"4 Enu Street, Ikom",08062583188 08134107428,"Accomodation, Bar & Restaurant",,,"Accomodation, Bar & Restaurant",,,
178,SUCCESS VILLA LUXURY HOTEL,"19 Otop Abasi Street off IBB Way, Calabar",07069417193,Hotel,,,,successhotel@gmail.com,,
179,SUITES FRANPHINAS SUITES,"Murtala Mohammed Highway behind Axari, Calabar",08136277891,Hotel,,"7 Ibom Layout, Calabar",,suitefranphinas@yahoo.com,,Mondays - Saturdays   24 Hrs
180,SWEET DREAMS HOTEL /SUITE,"4b Adiabo Close, State Housing, Calabar",08060199838 08140035091,Hotel,,,,sweetdreams-hotel@yahoo.com,,
181,THE GARDEN  OF ASO ROCK HOTEL,"3 Ikim Street, Ogoja",08022458386,"Accomodation, Bar & Restaurant",,,"Accomodation, Bar & Restaurant",,,Mondays - Sundays   24 Hrs
182,THE MIRAGE,"Plot 230 State Housing Estate MCC Road, Calabar",08028451029 07037061596,Hotel,,,,themiragecalabar@gmail.com,,
183,THE NOBLE PLACE LTD,"2nd Gate Old Parliamentary Village off Ndidem Usang Iso Road, Calabar.",08032620188 08055223431,Hotels,,,,thenoble_place@yahoo.com,,Mondays - Sundays   24 Hrs
