LOGISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/Hours
27,ECM TERMINALS LIMITED,"Calabar  Free Port, Calabar",08032754657 08015458858,Port Operations,,"9 Wharf Road, Kanko Towers, 6th Floor, Apapa, Lagos","Clearing, Servicing of Vessels",info@ecmterminals.com,www.ecomarinegroup.com,
28,E-DEGREAT INTERNATIONAL LINKS,"62 Edim-Otop Street, Calabar",07035490835 09097160826,Computer Services,,,"Computer Services, Plastic I.D Card, Lamination, Spiral Binding, Printing",,,Mondays - Saturdays 8am - 7pm
29,EFFCIENT INFORMATION CENTRE  ,"43 Mount Zion, Calabar  ",07032373184 08067721620  ,Computer Training/Compt Services  ,,,,,,
30,EFFILASH ONLINE CENTER,"45 Etta Agbor Road, Calabar",08131961100 08147769740,All Online Registrations,,,"Unical Database, Post UTME Diploma, CES, JAMB Admission Letters, NAVY",,,Mondays - Fridays  8am - 6pm  
31,EKOSON COMPUTER RESEARCH  ,"Goldie Road, Calabar  ",,Cafe    ,,,,,,
32,ENORA COMPUTERS,"CRUTECH, Calabar",08036690111,Graphics & Designs,"TCMC/02/24/005;NOV,2003",,"Graphic Designs, Book/Newspaper/ Magazine Planning, Scanning& Lamination, Spiral Binding, Scanning, Photocopy  & Typesetting",enora_ndu@yahoo.com,,Mondays - Fridays   
33,E-TOP JAM BUSINESS CENTRE,"Old Odukpani Road, Ikot Ansa, Calabar",07035556148,Computer Services,,,,,,Mondays - Saturdays 8am - 6pm
34,FAST WAY COMPUTER ICT,"29 Mount Zion Street, Calabar",08069492381,Computer Services,,,Computer Services & Internet Service,,,Mondays - Saturdays  8am - 6.30pm  
35,GALAXY PROFESSIONAL COMPUTERS,"101 Nelson Mandela Road, Calabar",08035899278,Computer Training & Maintenance,,,Computer Training & Maintenance,,,Mondays - Fridays  9am - 6pm 
36,GLAMOUR COMPUTER & STATIONARIES,"49 Mount Zion Road, Calabar",07035140729,Computer Services,,,"Graphics Design, laminating & spiral Binding",,,Mondays - Saturdays  8am - 6.30pm  
37,GOODY CREATIVE CONCEPT,"378 Murtala Mohammed Highway, Calabar",07034972448,Project Binding & Photocopy,,,,,,Mondays - Saturdays  8am - 7pm  
38,HIS-STAIPES CAFE  ,"160 Goldie Road, Calabar  ",0803810816,Cafe  ,,,,,,
39,HITECHPRO ," 140 Old Odukpani  Road, Ishie Town, Calabar  ",087845091  ,Cafe   ,,,,,,
40,HYBRID ADVANCE CAFÉ,"106 Ekpoabasi Street, Calabar",07037398204,Computer Services,,,"Browsing, Typesetting, Scanning, Printing",,,Mondays - Saturdays  8am - 8pm  
41,KWAIRANGA COMPUTER SYSTEM  ,"Marian Hotel, Old Ikang Road, Calabar  ",08035838500  ,Cafe   ,,,,,,
42,LIANO TECHNOLOGIES,"1 Old Odukpani Road, Ikot Ansa, Calabar",08125989655,"Car Alarm/Security, Computer Services",,,"Car Tracker,  Large Digital, Book Binding, Computer Training ",,,Mondays - Saturdays 8am - 6pm
43,LIBERTY CHANGE AGENT,"50 Edim Otop Street, Calabar",07030240703,Computer Services,,,"ID Cards, Wedding Cards, Spiral Binding",,,Mondays - Saturdays  8am - 7pm  
44,MACENO ENTERPRISE  ,"50 Ndidem Usang Iso Road, Calabar  ",07025355744  ,Computer Biz  ,,,,,,
45,MASTER COMPUTERS & COMMUNICATION,"3 Ekpoabasi Street via Mayne Avenue, Calabar",08054126677 08034681816,Computer Services,,,"Computer Training, Graphic Designing",,,Mondays - Saturdays  8am - 6pm  
46,MATHS STATS & COMPT SC DEPT UNICAL,"University Of Calabar, Calabar    ",08030737711  ,,,,,,,
47,MCIT  ,"49 Ndidem Usang Iso Road, Calabar  ",08064357998  ,Computer School/Cafe  ,,,,,,
48,MOSIDY COMPUTERS  ,"54/61 Ndidem Usang Iso Road, Calabar ",08035533081 07037826801,Computer School/Cafe  ,,,,,,
49,NAKS CAFE  ,"101 Ndidem Usang Iso Road, Calabar  Cafe  ",08038683902,,,,,,,
50,NEW HORIZON  ,"Etia-Agbor Road, Calabar  ",08035927501  ,Cafe    ,,,,,,
51,NUT  ,"IBB Way, Calabar  ",08181847645  ,Computer School/Cafe ,,,,,,
52,OGAK'S NIGERIA ENTERPRISE,"19 Akpanim Street, Calabar",07067027453,Computer Services,,,Computer Services,,,Mondays - Saturdays  8am - 6.30pm  
53,ONE STOP DOCUMENTATION CENTRE,"129 Old Odukpani Road, Ikot Ansa, Calabar",08066498771,Documentation & General Computer Services,,,"Café, Spiral Binding, Plastic I.D Card, Typesetting",,,Mondays - Fridays  8am - 6pm  
54,PACIFIC COMPUTERS  ,"119 Ndidem Usang Iso Road, Calabar  ",08033009035  ,Computer School/Cafe  ,,,,,,
55,PEARLSMAN MEDIA,"23 Ikot Eyo Street, Calabar",07035401445,"Computer Services, Graphics Designs",,,,,,Mondays - Saturdays  8am - 5pm  
56,PEN SYSTEMS   ,"Akim Road By Ibb, Calabar  ",08034961654,Computer Accessories  ,,,,,,
57,PLATFORM CAFE  ,"40 Mount Zion Road, Calabar  ",07038833453  ,Café,,,,,,
58,RABBONI,"38 Ediba Road opp. Marian Market, Calabar",08064026345 08038413770,Computer & Photography Services,,,"Graphic Design, Photography , Autocad Printing, Binding & Lamination",,,Mondays - Fridays  8am - 6pm  
59,REXOEN TECHNOLOGY  ,"Ndidem Usang Iso Road, Calabar      ",08037043057,Computer Training/Sales ,,,,,,
60,RIGHT ROSES ENT,"1 Joy Place, Asari Eso Street, Calabar",08033418053,Event Management & Logistics,,,,,,
61,RUTH AKPAN BUSINESS CENTRE,"Shop 15 POWA Shopping Complex, Calabar",080309297971,Computer Services,,,"Photocopy, Typesetting, Stationery",,,Mondays - Fridays       9am - 5.30pm
62,SAMODIN NIG. LTD,"80 Etta Agbor Road, Calabar",08162860312 08033306189 08056194275,Business Centre & Stationeries,,65 Ndidem Usang Iso Road Calabar,"Computer, Library & Transportation Services, Publishing, Stationeries",samodey@yahoo.com,,Mondays - Saturdays 8am - 6pm
63,SOFTNET  ,"Mary Slessor, Calabar  ",08080766689  ,Computer School/Cafe  ,,,,,,
64,TEEMAS BUSINESS CENTRE,"76 Ndidem Usang Iso Road, Calabar",08094477619,Computer Services,,,"Internet Services, Computer Services, Laminating, Spiral Binding",,,
65,THE'LPIM BUSINESS CENTRE,"110 Murtala Mohammed Highway, Calabar",08179246685 08138207532,Computer Services,,,"Typesetting, Business Card",thelpim.bus@gmail.com,,Mondays - Saturdays 6am - 6pm
66,UNION CAFE  ,"49 Mount Zion, Calabar      ",07069364143,Cafe,,,,,,
67,VITOMEK CONCEPT,"82 Palm Street off Mayne Avenue, Calabar",08033579136 08092201850,Computer Services,,,"Printing, Typesetting",,,Mondays - Saturdays  8am - 6pm  
68,WILLIAM SHALOM COMPANY ,"16 Mount Zion Road, Calabar","08110242288, 08083093525",Auctioneer Marketing Service,CR 7686,,Employment & Consultancy Services,,,Mondays - Saturdays  8am - 6.30pm  
69,WINNER'S SPOT COMPUTERS,"263 Old Odukpani Road, Ikot Ansa, Calabar",08037029124,"Printing, Typing, Graphic Designs, Laminations",,,,,,Mondays - Saturdays  8am - 6pm  
70,XEROX,"Suite 8, Shoprite Plaza, 28 MCC Road, Calabar",08038919473 08102333979,Business Centre & Stationeries,,"12/14 Fatai Atere Way, Oshodi, Lagos","Copying, Printing, Scanning, Fax, Electronic Document Mgt Systems",xhs@xhsnigeria.com,,Mondays - Saturdays  8am - 6.30pm  
