"CLUBS, ASSOCIATIONS & NON-GOVERNMENTAL ORGANIZATIONS",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/  Hours
60,LIGHT BEARERS ORGANISATION,"Plot 302, 2nd Avenue State housing, Calabar",08160598151,Youth/Women Empowerment,,,"Youth/Women Empowerment, HIV/AIDS, Child Culture",,www.lightbearersorganisation.org,Mondays - Fridays  8am - 5pm  
61,MANDATE GROUP,,08094427525 07038074003,Sensitization and Mobilization,,,,,,
62,NATIONAL ASSOCIATION OF CROSS RIVER STATE STUDENTS (NACRISS),,08035403356,Sensitization and Mobilization,,,,,,
63,NATIONAL ASSOCIATION OF NIGERIAN NURSES AND MIDWIVES ,,,,,,,,,
64,NATIONAL ASSOCIATION OF OBUDU STUDENTS (OBUDU),,08036348809,Sensitization and Mobilization,,,,,,
65,NATIONAL DEMOCRATIC YOUTH OF NIGERIA,,,Sensitization and Mobilization,,,,,,
66,NATIONAL GRASSROOT LEGISLATORS (Past & Present Councillors),,08078596051 08101020075,"Advocacy, Sensitization and Mobilization",,,,,,
67,"NATIONAL YOUTH COUNCIL OF NIGERIA, CRS CHAPTER",,07031863189,Youth Apex Body,,,,,,
68,"NATIONAL YOUTH FOR GOOD GOVERNANCE, CROSS RIVER STATE CHAPTER",,08064388200 0806933004 07031694730,Advocacy For Good Governance,,,,,,
69,"NATIONAL YOUTHS FOR GOOD GOVERNANCE, CROSS RIVER STATE CHAPTER",,08169192996 08056860487,Sensitizatio and Mobilization: Ensuring Your Votes Count,,,,,,
70,NEW AGE GENERATION LADIES FOR CHANGE,,08072937153,Advocacy and Sensitization,,,,,,
71,NEW APPROACH,,07033671883 08036329658,Mass Campaign Sensitization and Publicity,,,,,,Mondays - Saturdays  8am - 6pm  
72,NIGER DELTA LITERACY PROJECT,"51 Orok Orok Street, Calabar",08060449215,Computer Training,,,Computer Training,,,
73,NIGER DELTA STUDENT UNION GOVERNMENT (NIDSUG) CROSS RIVER STATE CHAPTER,,08034180826 08107120211,"Sensitization, Mobilization of Youth Against Political Thuggery, Kidnapping",,,,,,
74,NIGERIA BAR ASSOCIATION,,,,,,,,,
75,NIGERIA LABOUR CONGRESS (NLC) ,,,,,,,,,
76,NIGERIA MEDICAL ASSOCIATION,,,,,,,,,
77,NIGERIA UNION OF JOURNALIST (NUJ),"19/2 3rd Avenue State Housing, Calabar",,,,,,sec_nutcrsw@yahoo.com,,
78,NIGERIA UNION OF TEACHERS (NUT)," 6 Bassey Eteta Ita Street, Calabar",,,,,,,,
79,NIGERIA YOUTH ASSEMBLY CRS,,07038978030,"Advocacy, Sensitization and Mobilization",,,,,,
80,NIGERIAN LEGION  ,,,,,,,,,
81,NIGERIAN UNION OF PENSIONERS ,,,,,,,,,
82,NOBLE MOVEMENT COALITION,,08038767707,Sensitization and Mobilization,,,,,,
83,NOBLE WOMEN ALLIANCE,,07063503941 08038973814,Sensitization and Mobilization,,,,,,
84,OBUDU AND OBANLIKU DRIVERS WELFARE ASSOCIATION,,08056207890 08130131579,Behaviours/Change Campaign for Transporters on Tourism 2015,,,,,,
85,OHA NEZE NDI IGBO CROSS RIVER STATE CHAPTER,,08066630944,Sensitization and Mobilization,,,,,,
86,ONE LOVE (MPC),,08102935355,Sensitization and Mobilization,,,,,,
87,ONE NIGERIA INITIATIVE,,08064363319 07063503941,Mobilization of Voters,,,,,,
88,PARKER GROUPS (PG),,08136329878,Sensitization and Mobilization,,,,,,
89,PDP NATIONAL REAP,,08034064099,Political Mobilization & Empowerment ,,,,,,
90,PDP NIGER DELTA YOUTH MOVEMENT 2015,,08095386001 08032961671,Campaign Mobilization and Sensitization of Populace,,,,,,
91,PDP YOUNG LADIES EMPOWERMENT INITIATIVE,,08098773900 08033813286,Mass Campaign  and Sensitization,,,,,,
92,PDP YOUTH FORUM CAL. SOUTH,,08032575270,Sensitization and Mobilization,,,,,,
93,PERSONS WITH DISABILITIES MOVEMENT FOR CREDIBLE AND PARTICIPATORY GOVERNANCE,,07039324006,Sensitization and Mobilization,,,,,,
94,RENAISSANCE FOR TRANSFORMATION,,08027847695,Sensitization and Mobilization,,,,,,
95,SEVEN ALIVE YOUTH FORUM,"Southern Senatiorial Street, Calabar",08069331064 07037573682,Mass Campaign Awareness and Media,,,,,,
96,SIXTEEN CAUCUS ASSOCIATION,,07034273954 08131394814,Mobilization of Voters,,,,,,
97,SOUTH SOUTH SISTERS (CROSS RIVER STATE CHAPTER),,07031863312 08063574255 08066997103,Sensitization and Mobilization,,,,,,
98,SOUTH SOUTH YOUTH AWARENESS FORUM (SSYAF),,08033250084,Sensitization and Mobilization,,,,,,
99,SUPREME YOUTH TRANSFORMATION COUNCIL,,08038754712,Sensitization and Mobilization,,,,,,
100,THE CROSS RIVER NORTHERN YOUTH ADVOCATES ,,08035796701,Sensitization and Mobilization,,,,,,
101,THE VOICE OF OBUBRA WOMEN,,08173757039,Women Mobilization,,,,,www.queenofgold.net www.trailblazerworld.net,Mondays - Saturdays 8am - 7pm
102,TRADE UNIONS COUNCIL ,,,,,,,,,
103,TRAILBLAZER WORLD FOUNDATION,"42/43 U. J. Esuene Stadium, Calabar",08036621646,Non-Governmental Organizations,,,"General Entertainment, Fashion, Printing, Transports & Tourism",,,
104,UNICAL STUDENTS ASSOCIATION,,08139204746,Sensitization and Mobilization,,,,,,
105,UNICEM HOST COMMUNITY YOUTH FORUM,,07069365026,Sensitization and Mobilization,,,,,,
106,UNITED GRASSROOT MOVEMENT,Calabar South,08094427505 08062333731 08062333731,Sensitization and Mobilization,,,,,,
107,UNITED YOUNG WOMEN MOVEMENT,,08034176030,Mobilization and Awareness,,,,,,
108,VICTORIOUS WOMEN IN POLITICS CROSS RIVER STATE CHAPTER,,08188984457,Sensitization and Mobilization,,,,,,
109,VILLAGE COUNCIL WORLDWIDE,,08171345666,Sensitization and Mobilization,,,,,,
110,VISION FORUM INITIATIVE,,08033441619 07060525999,"Door to Door, House to House",,,,,,
111,VOX NETWORK,,08037183322 08037087593,Socio-Political Group,,,Publishers of Vox Newsletter,voice@voxnigeria.net,,
112,WOMEN OF EXTEEM VALUE INITIATIVE (WEVI),,08136582236 08167061160,"Socio-Political Mobilization, Sensitization and Community Development",,,,,,
113,WOMEN OF FAIR PLAY AND EQUITY,,08038874081,,,,,,,
114,YOUTH LEAGUE FOR PROGRESS,,08058237452,Sensitization and Mobilization,,,,,,
115,YOUTH ORGANISATION FOR BETTER NIGERIA,,08036973653,Empowerment/Mobilization and Publicity,,,,,,
