BEAUTY SERVICES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
68,KROS'PRO SKIN CARE,"37 Ndidem Usang Iso Road, Calabar",07030179017 08181465795,Skin Professionals,,,"Skin Test, Free Skin Analysis, Massaging",krosproskin@yahoo.com,,Mondays - Saturdays  8am - 6pm  
69,LA' ESTEL MAKEOVER & BEAUTY ACADEMY ,"98, 150 Ndidem Usang Iso Road, Calabar",08035984847 08183210919,Make-up Products & Cosmetics,,,"Bridal Make-up, Make-up Lounge",,,Mondays - Saturdays  8am - 7pm 
70,LEWIS CLIPPERS,14 Atu street Calabar,08063647381,Barbing Salon,,,Barbing & Shaving,,,Mondays - Sundays  8am - 8pm  
71,LEXTON FACES & MAKEOVAZ,"82 IBB Way, Calabar",08067985712 08174051965,"Make-up, Make-up Products, Facial Treatment",,,"Perfumes, Eye Shadows, Make-up Boxes, Hairs",lextonmakeovaz214@gmail.com,,7am - 7pm
72,LILY'S TOUCH BEAUTY MAKEOVER,"137 Marian Road, Calabar",08062262112,"Professional Makeover, Geletying, doityourself",,,,,,Mondays - Saturdays  8am - 6pm 
73,LIZZET DEFINITIONZ,"32 Spring Road, Calabar",08036769975,Make-up & Cosmetics,,,"Make-up, Cosmetics, Training & Accessories",lizzette1230kg@gmail.com,,Mondays - Saturdays  8am - 7pm  
74,LIZZY BEAUTY TOUCH,"16 Mount Zion Street, Calabar",08060444128,Beauty Services,,,Hair Dressing,,,Mondays - Sundays  8am - 8pm  
75,MA CHERIE COSMETICS,"26 Edim Otop Street, Calabar",08035518610,Skin Care Solution,,,"Skin Care, Make-up, Perfumes, Jewelleries,",daintyangel96@yahoo.com,,Mondays - Sundays  8am - 7pm  
76,MAIDENS ENTERPRISE,"3 Asari Eso Layout off Marian Road, Calabar",08036507370 08080521988,Beauty Consultation & Unisex Clothing,,,"Weavons, Make-up, Hair Products, Clothes, Shoes",id.standout4maidens@yahoo.com,,Mondays - Saturdays  8am - 7.30pm Sundays 2am-7.30pm  
77,MAKE-OVER BY MERCEDES,"2 Ediba Road, Calabar",08032975310 08133078597,Make-up & Products,,,Make-up & Make-up Products Sales,mercedesedet@yahoo.com,,Mondays - Saturdays  9am - 6pm 
78,MANE ATTRACTION NIG.,"22 Marian Road, Calabar",08099686988 08099576656,Hair Care,,,All Kinds of Weavons & Products,,www.maneattraction.com,Mondays - Saturdays  8am - 6pm  
79,MARY BEAUTY SALON,"19 Ekpo Archibong Street, Calabar",08144866154,"Braiding, Fixing",,,,,,Mondays - Saturdays  8am - 8pm          Sundays 2pm - 8pm  
80,MASTERCUT,"91 Atekong Drive, Calabar",08039303492,Barbing Salon,,,Barbing Salon,,,Mondays - Saturdays  8.30am - 9pm  
81,MEENA MAKEOVER,"30/32 Ndidem Usang Iso Road, Calabar",08033528823 08184935381,Make-up Treatment & Beauty Product ,,,Bridal Make-up  & Beauty Product ,,,Mondays - Saturdays  8.30am - 7pm  
82,NK BEAUTY SALON,"169 Old Odukpani Road, Calabar",08066818910,"Braiding, Hair Accessories, Manicure& Pedicure",,,,,,Mondays - Saturdays  8am - 6pm  
83,OCTANE PLUS,"80 IBB Way, Calabar",0806792976,Female Hair & Accessories,,,"Weavon, Make-up Products, Clothing",,,Mondays - Saturdays  8am - 7pm  
84,OFFIKENG KREATIONS,"39 Ediba Road, Calabar",07030466989 08038951622,Jewelleries & Pull-overs,,,Jewelleries & Pull-overs,eoffiong@yahoo.com,,Mondays - Saturdays  8.30am - 5pm 
85,OLIVES SHOPPING MART ,49 Mount Zion Road Calabar,"08069325468, 07057373646",Cosmetics,,,"Perfumes,Creams Provision",,,Mondays - Saturdays 8am - 6pm
86,OMEGA STAR BARBING SALON,"49 Edim Otop Street, Calabar",08067081494,Barbing Services,,,Barbing Services,,,Mondays - Saturdays  8am - 7pm  
87,PEARLIES BEAUTY SALON,"239 Old Odukpani Road, Calabar",07069659657 08126695364,Unisex Salon,,,,,,Mondays - Saturdays  8am - 8pm          Sundays 1pm - 8pm  
88,PINKILICIOUS BODY SHOP,"10 Ndidem Usang Iso Road, Calabar",08037155427,Victoria Secret Product & Hair Product,,,"Victoria Secret Products, Hair Product",iniodundia2@yahoo.com,,Mondays - Saturdays  8.30am - 7.30pm  
89,PRECIOUS CARE COSMETICS,"18 Etta Agbor Road, Calabar",08021083399 08036953804,Cosmetics,,,Assorted Cosmetics,,,Mondays - Saturdays  8am - 7pm  
90,PRECISE UNISEX SALON,"25 Murtala Mohammed Highway opp. Mobil Filling Station, Calabar",07039200052,Unisex Salon,,,"Barbing, Braiding, Fixing, Weavon",,,Mondays - Saturdays  8am - 9pm  
91,PRESTIGE COSMETICS,"8/13 Etta Agbor Road, Calabar",07068911481,Cosmetics,,,All Sorts of Cosmetics,uduakeyo@yahoo.com,,Mondays - Saturdays  8am - 10pm  
92,QUEEN'S HAIR DRESSING SALON,"21 Ediba Road, Calabar",07033709344 08089692305,Hair Dressing,,,"All Types of Weavon, Braiding, Fixing",,,Mondays - Saturdays  8am - 6pm  
93,QUEEN UTILITY SHOP,"310 Old Odukpani Road, Calabar",07061080742,"Braiding, Fixing, Manicure & Pedicure",,,,,,Mondays - Saturdays  8.30am - 10pm Sundays 12pm - 10pm  
94,RAMBO  BEAUTY SALON,"7 Out Ansa Street, Calabar",08146556568,"Braiding, Fixing",,,"Braiding, Fixing Nails, Hair Treatment, Blowdry",,,Mondays - Saturdays  8am - 8pm  
95,RITA'S BEAUTY SOLUTIONS LTD,"6 Adiabo Close, State Housing, Calabar",07062481837 087290562,Beauty Solutions,,,"Day Spa, Make-up Services/Training, Beauty Products",mail4ritas@yahoo.com,www.rbeautysolutions.com,Mondays - Saturdays  8am - 7pm  
96,ROI CONCEPTS,"83 Marian road, Calabar",08121980618 08161809,Beauty Parlour & Boutique,,,"General Contracts/ Merchandise, Beauty Parlour & Boutique",roi_concepts@yahoo.com,roiconcepts.com,
97,SCRUNCH 'N' CURLS BEAUTY & BARBING SALON,"254b Effanga Mkpa State Housing, Calabar",08152697790 07035828537,Hair Treatment,,,"Pedicure, Manicure, Fixng of Eye Lashes & Eye Contact",,,Mondays - Saturdays  8am - 7pm  
98,SHARPLINK BEAUTY SALON,"44/50 Mbukpa Street, Calabar",08053160712 08094800600,Hair Dressing Salon,,,"Washing/Setting, Braiding, Pedicure",,,Mondays - Saturdays  8am - 7pm          Sundays 2pm - 7pm  
99,SPLIT-TIPZ BEAUTY PARLOUR,"Old Odukpani Road by Army Junction, Calabar",08067824009,"Hair, Nails, Accessories",,,,,,Mondays - Saturdays  8am - 6pm          Sundays 2pm - 7pm  
100,SNAZZY HAIR,13 Mount Zion Road Calabar,07068581186,Beauty Services,,,Hair Dressing,,,Mondays - Saturdays  8am - 7pm  
101,STAINLESS BARBING CLINIC,Behind Hall 5 @ Small Lagos (Malabor) Barber's Line,08032736237 08094723567,Barbing Salon & Play Station,,,Barbing Salon & Play Station,,,Mondays - Saturdays  8am - 7pm  
102,STANPHIL UNISEX SALON,"Etim Edem Park, Calabar","07036337792, 08182847212",Unisex Salon,,,"Barbing, Fixing, Braiding",,,Mondays - Sundays  8am - 8pm  
103,STINGS BARBING & BOUTIQUE,"3 Asari Eso Layout o ff Effio Ette,Calabar",08090970645 08039781993,"Barbing, Clothing & Accessories",,,"Barbing, Clothes, Shoes, Belt, Cosmetics",,,Mondays - Sundays  8am - 9pm  
104,STRAWBERRY,"Suite 6, Big Qua Shoping Mall",08087772897,Cosmetics,,,"Cosmetics, perfume, BodyCare Product",,,Mondays - Sundays  8am - 6pm  
105,SUNSET HAIR BEAUTY SALON,"200 Old Odukpani Road, Calabar",08164589298 08052411643,"Braiding, Manicure & Pedicure",,,,,,Mondays - Saturdays  8am - 6pm  
106,TEE'S HAIR & COSMETICS RESORT,"29a Ikot Eyo Street, Calabar",08034680351,"Weavon, Human Hair, Attachment, Cosmetics",,,,otidat2000@yahoo.com,,Mondays - Saturdays  8am - 7pm 
107,THE BENJAMIN'S BEAUTY WORLD,"Shop 4 Beside State Housing Police Station, Calabar",08036956828 08061132081,Hair Dressing,,,"Hair Dressing, Sewing Academy, Make-up",,,Mondays - Saturdays  8am - 6pm  
108,TOCHI DIMPLES HAIR SALON,"86 MCC Road by Effio-ette Junction, Calabar.",08138226650 07031838614,Hair Dressing,,,Hair Dressing,stylisttochukwu@yahoo.com,,Mondays - Sundays  8am - 10pm  
109,TUTSIESNNATURE COSMETICS (TNC),"1 Joy Place, Asari Eso Street, Effio-ette Junction, Calabar",08033418053,Cosmetics & Skincare,,,"Shea Butter Cream, Black Shea Soap, Fragrance Body Wash, Facial Range",tutsieemporium@gmail.com,,
110,UD GORGEOUS BEAUTY SALON,"12 Edim Otop Street, Calabar",08174818709,"Makeup, Braiding",,,"Makeup, Braiding, Hair Treatment",,,Mondays - Saturdays  8am - 8pm 
111,UTYLICIOUS BEAUTY SPOT,"49 IBB Way, Calabar",07036494933,"Hair Styling, Lashes, Manicure & Pedicure",,,"Human Hair, Hair Treatment, Accessories",itylicious@yahoo.com,,Mondays - Saturdays  8am - 8pm       Sundays 2pm - 8pm   
112,VERA'S BEAUTY SAL00N,24 Mount Zion Street Calabar,"08037656656, 08172957678",Beauty Services,,,Hair Dressing,odovera@gmail.com,,Mondays - Saturdays  8am - 10pm  
113,VITEX COSMETICS,"Line 671/751 Ika Ika Oqua Market, Calabar",08037588033 08067446025,Cosmetics,,,All Types of Cosmetics,,,Mondays - Saturdays  8am - 6.30pm  
114,WEAVONS & ATTACHMENT DEPOT,"Shop 6 Ikot Ishie Market Plaza, Old Odukpani Road, Calabar",08064933745 08099572463,"Hair Cosmetics, Attachments & Foreign Weavons  ","RC 925173/ DEC, 2010","69 Murtala Mohammed Highway, Calabar","Hair Cosmetics, Attachments & Foreign Weavons  ",tradprocttl@gmail.com,,Mondays - Saturdays  8am - 6.30pm  
115,WILL OF GOD SALON,"Etim Edem Park, Calabar","08101381803, 08182510758",Barbing,,,barbing & shaving,,,Mondays - Sundays  8am - 8pm  
116,Y-ZED SERVICES,"84 MCC Road by Effio-ette Junction, Calabar.",08031584797,Barbing Salon,,,,yzedservices@yahoo.com,,Mondays - Saturdays  8am - 10pm  
117,ZARON COSMETICS,"94 Ndidem Usang Iso Road, Calabar.",07037950735 08177376767,Make-up,,"12b Atimbo Road, Calabar",Make-up/ Cosmetics,zaron.com.ng,,Mondays - Saturdays  8am - 6pm  
